merchant_id,website_policy_issue,refund_policy_issue,contact_information_issue,website_risk_score,reputation_score,adverse_media_flag
M0206,0,0,0,15.0,100.0,0
M0207,0,0,0,12.0,92.0,0
M0208,0,0,0,31.0,85.0,0
M0209,0,0,0,50.0,86.0,0
M0210,0,0,0,19.0,91.0,0
M0211,0,0,0,30.0,87.0,0
M0212,0,1,0,29.0,90.0,0
M0213,0,0,1,19.0,76.0,0
M0214,0,0,0,43.0,61.0,1
M0215,0,0,0,12.0,88.0,0
M0216,0,0,0,14.0,92.0,0
M0217,0,0,0,9.0,66.0,0
M0218,0,0,0,26.0,78.0,0
M0219,0,0,0,30.0,78.0,0
M0220,0,0,0,17.0,86.0,0
M0221,0,0,0,52.0,83.0,0
M0222,0,0,0,10.0,100.0,0
M0223,0,0,1,10.0,75.0,0
M0224,0,0,0,16.0,75.0,0
M0225,0,0,0,16.0,75.0,0
M0226,0,0,0,6.0,87.0,0
M0227,0,0,0,41.0,90.0,0
M0228,0,0,0,25.0,92.0,0
M0229,0,0,0,31.0,93.0,0
M0230,0,0,0,0.0,86.0,0
M0231,0,0,0,40.0,81.0,0
M0232,0,0,0,1.0,93.0,0
M0233,0,0,0,27.0,83.0,0
M0234,0,0,0,9.0,96.0,0
M0235,0,0,1,38.0,85.0,0
M0236,0,0,0,22.0,72.0,0
M0237,0,0,0,36.0,75.0,0
M0238,0,0,0,18.0,87.0,0
M0239,0,0,0,12.0,93.0,0
M0240,0,0,0,17.0,86.0,0
M0241,0,0,0,7.0,82.0,0
M0242,0,0,0,32.0,91.0,0
M0243,0,0,0,19.0,83.0,0
M0244,0,1,0,40.0,69.0,0
M0245,0,0,0,35.0,90.0,0
M0246,0,0,0,5.0,89.0,0
M0247,0,0,0,29.0,81.0,0
M0248,0,0,0,12.0,98.0,0
M0249,0,0,0,15.0,71.0,0
M0250,0,0,0,21.0,84.0,0
M0251,0,0,0,7.0,87.0,0
M0252,0,0,0,2.0,77.0,0
M0253,0,0,0,18.0,80.0,0
M0254,0,0,1,31.0,81.0,0
M0255,0,1,0,44.0,77.0,0
M0256,0,0,0,15.0,86.0,0
M0257,0,1,0,20.0,74.0,0
M0258,0,0,0,20.0,74.0,0
M0259,0,1,0,20.0,81.0,0
M0260,0,0,0,35.0,89.0,0
M0261,0,0,0,18.0,74.0,0
M0262,0,0,0,26.0,75.0,0
M0263,1,0,1,37.0,73.0,0
M0264,0,0,0,23.0,71.0,0
M0265,0,0,0,24.0,100.0,0
M0266,0,0,0,20.0,94.0,0
M0267,0,0,0,29.0,69.0,0
M0268,0,0,0,21.0,89.0,0
M0269,0,0,0,21.0,90.0,0
M0270,0,0,0,25.0,71.0,0
M0271,0,1,0,18.0,85.0,0
M0272,0,0,0,32.0,74.0,0
M0273,0,0,0,13.0,76.0,0
M0274,0,0,1,36.0,92.0,0
M0275,0,0,0,29.0,84.0,0
M0276,0,0,0,37.0,91.0,0
M0277,1,0,0,36.0,70.0,0
M0278,0,1,0,43.0,77.0,0
M0279,0,0,0,16.0,91.0,0
M0280,0,0,1,35.0,66.0,0
M0281,1,0,0,36.0,90.0,0
M0282,0,0,0,36.0,100.0,0
M0283,0,0,0,32.0,82.0,0
M0284,0,0,0,37.0,88.0,0
M0285,0,0,0,23.0,98.0,0
M0286,0,0,0,0.0,95.0,0
M0287,0,0,0,0.0,80.0,0
M0288,0,0,0,7.0,92.0,0
M0289,0,0,0,22.0,68.0,0
M0290,0,0,0,0.0,97.0,0
M0291,0,0,0,24.0,77.0,0
M0292,0,0,0,38.0,87.0,0
M0293,0,0,0,9.0,100.0,0
M0294,1,1,0,35.0,75.0,0
M0295,0,0,0,20.0,100.0,0
M0296,0,0,0,16.0,77.0,0
M0297,0,0,1,35.0,67.0,0
M0298,0,0,0,35.0,82.0,0
M0299,0,1,0,20.0,77.0,0
M0300,0,0,1,47.0,100.0,0
M0301,1,0,0,48.0,73.0,0
M0302,0,0,0,20.0,87.0,0
M0303,0,0,0,37.0,97.0,0
M0304,1,1,1,38.0,44.0,0
M0305,0,0,0,24.0,80.0,0
M0306,0,0,0,4.0,65.0,0
M0307,0,0,0,17.0,,0
M0308,1,1,0,41.0,64.0,0
M0309,0,0,0,26.0,100.0,0
M0310,0,0,0,31.0,83.0,0
M0311,0,0,0,16.0,80.0,0
M0312,0,0,0,25.0,63.0,0
M0313,0,0,1,32.0,74.0,0
M0314,1,0,0,39.0,83.0,0
M0315,0,0,0,21.0,90.0,0
M0316,0,0,0,20.0,78.0,0
M0317,0,0,0,73.0,90.0,1
M0318,0,0,0,14.0,65.0,0
M0319,0,0,0,22.0,86.0,0
M0320,0,1,0,15.0,84.0,0
M0321,0,0,0,18.0,78.0,0
M0322,0,0,0,0.0,80.0,0
M0323,0,0,1,60.0,69.0,0
M0324,0,0,0,35.0,81.0,0
M0325,0,0,0,0.0,89.0,0
M0326,0,0,0,29.0,99.0,0
M0327,0,0,0,31.0,100.0,0
M0328,1,0,0,21.0,84.0,0
M0329,0,0,0,30.0,85.0,0
M0330,0,0,0,14.0,87.0,0
M0331,0,0,0,10.0,100.0,0
M0332,0,0,0,12.0,84.0,0
M0333,0,0,0,41.0,83.0,0
M0334,0,0,0,25.0,85.0,0
M0335,0,0,0,36.0,89.0,0
M0336,0,0,0,30.0,84.0,0
M0337,0,0,0,15.0,92.0,0
M0338,0,0,0,3.0,86.0,0
M0339,0,1,1,36.0,58.0,0
M0340,0,0,0,18.0,72.0,0
M0341,0,0,0,15.0,89.0,0
M0342,0,0,0,10.0,80.0,0
M0343,0,0,0,11.0,100.0,0
M0344,0,0,0,10.0,83.0,0
M0345,1,0,0,31.0,74.0,0
M0346,0,0,0,35.0,92.0,0
M0347,0,0,0,22.0,89.0,0
M0348,0,0,0,21.0,74.0,0
M0349,1,1,0,40.0,55.0,0
M0350,0,0,0,26.0,78.0,0
M0351,0,0,0,28.0,80.0,0
M0352,0,0,0,17.0,81.0,0
M0353,0,0,0,21.0,81.0,0
M0354,0,0,0,34.0,70.0,0
M0355,0,0,0,23.0,74.0,0
M0356,0,0,0,21.0,83.0,0
M0357,0,0,0,25.0,76.0,0
M0358,0,0,0,28.0,83.0,0
M0359,0,1,0,32.0,86.0,0
M0360,1,0,0,25.0,77.0,0
M0361,0,0,0,19.0,76.0,0
M0362,0,0,0,33.0,100.0,0
M0363,0,0,0,23.0,79.0,0
M0364,0,0,0,0.0,81.0,0
M0365,0,0,0,30.0,84.0,0
M0366,0,1,0,29.0,67.0,0
M0367,0,0,0,13.0,89.0,0
M0368,0,0,0,32.0,99.0,0
M0369,0,0,0,31.0,79.0,0
M0370,0,0,1,28.0,74.0,0
M0371,0,0,0,3.0,86.0,0
M0372,0,0,0,0.0,59.0,0
M0373,0,0,0,14.0,77.0,0
M0374,1,0,0,25.0,79.0,0
M0375,0,0,0,2.0,81.0,0
M0376,0,0,0,36.0,71.0,0
M0377,1,0,0,25.0,72.0,0
M0378,0,0,0,31.0,72.0,0
M0379,0,0,0,0.0,97.0,0
M0380,0,0,0,16.0,78.0,0
M0381,0,0,0,23.0,90.0,0
M0382,0,1,0,29.0,71.0,0
M0383,0,0,0,15.0,86.0,0
M0384,1,1,1,92.0,66.0,0
M0385,0,1,0,49.0,73.0,0
M0386,1,0,0,55.0,82.0,0
M0387,0,0,0,12.0,77.0,0
M0388,0,0,0,30.0,87.0,0
M0389,0,0,0,13.0,95.0,0
M0390,0,0,0,31.0,87.0,0
M0391,0,1,0,5.0,,0
M0392,0,1,0,27.0,59.0,0
M0393,0,0,0,12.0,92.0,0
M0394,0,0,0,0.0,100.0,0
M0395,0,0,0,9.0,92.0,0
M0396,0,0,0,28.0,88.0,0
M0397,0,0,0,29.0,96.0,0
M0398,0,0,0,32.0,95.0,0
M0399,0,0,0,14.0,93.0,0
M0400,0,0,0,18.0,88.0,0
M0401,0,0,0,37.0,72.0,0
M0402,0,0,0,1.0,89.0,0
M0403,0,0,0,25.0,88.0,0
M0404,0,0,0,21.0,94.0,0
M0405,0,0,0,43.0,86.0,0
M0406,0,1,0,31.0,,0
M0407,0,0,0,11.0,86.0,0
M0408,0,0,0,22.0,75.0,0
M0409,1,0,0,22.0,70.0,0
M0410,0,1,0,40.0,86.0,0
M0411,0,1,0,40.0,48.0,0
M0412,0,0,0,9.0,85.0,0
M0413,0,1,0,19.0,72.0,0
M0414,1,0,0,37.0,81.0,0
M0415,0,0,0,18.0,100.0,0
M0416,0,0,1,42.0,82.0,0
M0417,0,0,0,28.0,92.0,0
M0418,0,0,0,33.0,93.0,0
M0419,0,1,0,62.0,42.0,1
M0420,0,0,0,23.0,94.0,0
M0421,0,0,1,26.0,78.0,0
M0422,0,0,0,25.0,75.0,0
M0423,0,0,0,26.0,100.0,0
M0424,0,0,0,0.0,86.0,0
M0425,0,0,1,28.0,62.0,0
M0426,0,0,0,33.0,81.0,0
M0427,0,0,0,32.0,85.0,0
M0428,0,0,0,43.0,95.0,0
M0429,0,0,0,0.0,82.0,0
M0430,0,0,1,37.0,83.0,0
M0431,0,0,0,44.0,59.0,1
M0432,0,0,0,53.0,68.0,1
M0433,1,0,0,32.0,72.0,0
M0434,0,0,0,26.0,65.0,0
M0435,0,0,0,15.0,94.0,0
M0436,0,0,0,22.0,76.0,0
M0437,0,0,0,35.0,72.0,0
M0438,0,0,0,0.0,89.0,0
M0439,0,1,1,43.0,71.0,0
M0440,0,0,0,0.0,88.0,0
M0441,0,1,0,42.0,78.0,0
M0442,0,1,0,14.0,86.0,0
M0443,0,0,0,31.0,68.0,0
M0444,0,0,0,34.0,87.0,0
M0445,0,0,0,11.0,92.0,0
M0446,0,0,0,6.0,60.0,0
M0447,0,0,0,24.0,83.0,0
M0448,0,0,0,18.0,72.0,0
M0449,0,0,0,32.0,75.0,0
M0450,1,0,0,32.0,73.0,0
M0451,0,1,0,31.0,81.0,0
M0452,1,0,0,29.0,89.0,0
M0453,0,0,0,12.0,66.0,0
M0454,0,0,0,18.0,62.0,0
M0455,0,0,0,0.0,100.0,0
M0456,1,0,0,30.0,70.0,0
M0457,0,0,0,49.0,83.0,0
M0458,0,0,0,5.0,95.0,0
M0459,0,0,0,10.0,92.0,0
M0460,0,0,0,10.0,74.0,0
M0461,0,0,0,31.0,85.0,0
M0462,0,0,0,37.0,85.0,0
M0463,1,0,0,45.0,78.0,0
M0464,0,0,0,19.0,75.0,1
M0465,0,0,0,28.0,75.0,0
M0466,0,0,0,56.0,72.0,1
M0467,0,0,0,19.0,66.0,0
M0468,0,0,0,15.0,73.0,0
M0469,0,0,0,16.0,89.0,0
M0470,0,0,0,30.0,99.0,0
M0471,0,0,0,26.0,93.0,0
M0472,0,0,0,21.0,74.0,0
M0473,0,0,0,0.0,93.0,0
M0474,0,0,0,27.0,85.0,0
M0475,0,0,0,23.0,98.0,0
M0476,1,0,0,20.0,73.0,0
M0477,1,0,0,32.0,85.0,0
M0478,0,0,0,25.0,54.0,0
M0479,0,0,0,0.0,82.0,0
M0480,0,0,0,25.0,83.0,0
M0481,0,0,0,24.0,76.0,0
M0482,0,0,0,35.0,67.0,0
M0483,0,0,1,37.0,79.0,0
M0484,0,0,0,27.0,82.0,0
M0485,1,0,0,31.0,87.0,0
M0486,0,0,0,19.0,70.0,0
M0487,0,0,0,9.0,91.0,0
M0488,0,1,0,20.0,58.0,0
M0489,0,0,0,18.0,70.0,0
M0490,0,0,0,12.0,98.0,0
M0491,0,0,0,15.0,76.0,0
M0492,1,0,0,35.0,68.0,0
M0493,0,0,0,39.0,59.0,1
M0494,0,0,0,30.0,100.0,0
M0495,0,0,1,34.0,72.0,0
M0496,0,0,0,33.0,85.0,0
M0497,1,0,0,4.0,92.0,0
M0498,0,0,1,40.0,53.0,0
M0499,0,0,1,53.0,66.0,0
M0500,0,0,0,9.0,83.0,0
M0501,0,0,0,3.0,100.0,0
M0502,0,0,0,24.0,98.0,0
M0503,0,0,1,25.0,84.0,0
M0504,0,0,0,27.0,86.0,0
M0505,0,0,0,0.0,66.0,0
M0506,0,0,0,23.0,86.0,0
M0507,0,0,1,30.0,70.0,0
M0508,0,0,0,31.0,80.0,0
M0509,0,0,0,12.0,93.0,0
M0510,0,0,0,6.0,100.0,0
M0511,0,0,0,24.0,83.0,0
M0512,0,0,0,17.0,70.0,0
M0513,0,0,0,14.0,90.0,0
M0514,0,0,0,21.0,89.0,0
M0515,0,0,0,33.0,82.0,0
M0516,1,0,0,50.0,65.0,0
M0517,0,0,0,31.0,79.0,0
M0518,0,1,0,28.0,73.0,0
M0519,0,0,0,33.0,100.0,0
M0520,0,0,0,33.0,86.0,0
M0521,0,0,0,9.0,82.0,0
M0522,0,0,0,8.0,75.0,0
M0523,0,0,0,26.0,94.0,0
M0524,0,0,0,10.0,84.0,0
M0525,0,0,0,29.0,74.0,0
M0526,0,0,0,0.0,96.0,0
M0527,0,0,0,4.0,85.0,0
M0528,1,0,0,23.0,79.0,0
M0529,0,0,0,30.0,91.0,0
M0530,0,0,0,18.0,93.0,0
M0531,0,1,0,41.0,,0
M0532,0,0,0,29.0,91.0,0
M0533,0,0,0,27.0,98.0,0
M0534,0,0,0,6.0,100.0,0
M0535,0,0,0,27.0,72.0,0
M0536,0,0,0,24.0,85.0,0
M0537,0,0,1,44.0,88.0,0
M0538,0,0,0,12.0,100.0,0
M0539,0,0,0,13.0,87.0,0
M0540,0,1,0,1.0,75.0,0
M0541,1,0,1,65.0,50.0,0
M0542,0,0,0,9.0,89.0,0
M0543,0,0,1,64.0,66.0,1
M0544,1,1,0,57.0,80.0,0
M0545,0,0,0,13.0,90.0,0
M0546,0,0,0,21.0,100.0,0
M0547,0,0,0,18.0,92.0,0
M0548,0,0,0,18.0,99.0,0
M0549,0,0,0,24.0,100.0,0
M0550,1,0,1,41.0,67.0,0
M0551,0,0,0,14.0,91.0,0
M0552,0,0,0,57.0,37.0,1
M0553,1,1,0,29.0,67.0,0
M0554,0,0,0,21.0,77.0,0
M0555,0,0,1,47.0,49.0,1
M0556,1,0,0,26.0,71.0,0
M0557,0,0,0,29.0,94.0,0
M0558,0,0,0,26.0,87.0,0
M0559,0,0,0,19.0,65.0,0
M0560,0,1,0,8.0,73.0,0
M0561,0,0,0,19.0,79.0,0
M0562,0,1,0,17.0,82.0,0
M0563,0,0,0,21.0,86.0,0
M0564,0,1,0,49.0,61.0,1
M0565,0,0,0,0.0,78.0,0
M0566,0,0,0,17.0,67.0,0
M0567,0,0,0,24.0,75.0,0
M0568,0,0,0,51.0,82.0,0
M0569,0,0,1,9.0,78.0,0
M0570,0,0,0,38.0,100.0,0
M0571,0,0,0,13.0,71.0,0
M0572,0,0,0,27.0,72.0,0
M0573,0,0,0,25.0,100.0,0
M0574,0,0,0,35.0,59.0,1
M0575,0,0,0,36.0,94.0,0
M0576,0,0,0,18.0,76.0,0
M0577,0,0,0,10.0,80.0,0
M0578,0,0,0,16.0,79.0,0
M0579,0,0,0,4.0,84.0,0
M0580,0,0,0,27.0,86.0,0
M0581,0,0,0,18.0,83.0,0
M0582,0,0,1,46.0,56.0,1
M0583,0,0,0,29.0,74.0,0
M0584,0,0,0,13.0,89.0,0
M0585,0,0,1,49.0,98.0,0
M0586,0,0,0,48.0,64.0,1
M0587,0,0,0,6.0,75.0,0
M0588,0,0,0,12.0,96.0,0
M0589,0,0,0,16.0,90.0,0
M0590,0,0,0,23.0,69.0,0
M0591,0,0,0,0.0,82.0,0
M0592,0,0,0,28.0,92.0,0
M0593,1,0,0,35.0,67.0,0
M0594,0,0,0,17.0,80.0,0
M0595,0,0,0,0.0,88.0,0
M0596,0,0,0,8.0,81.0,0
M0597,0,0,0,36.0,82.0,0
M0598,0,0,0,10.0,98.0,0
M0599,0,0,0,21.0,76.0,0
M0600,0,1,0,25.0,69.0,0
