merchant_id,month,chargebacks,refunds,fraud_cases,risk_score
M0360,2024-04,6,37,6,16
M0199,2024-08,29,170,9,9
M0009,2024-08,1,5,0,19
M0256,2024-08,1,7,0,18
M0165,2024-01,4,24,2,23
M0117,2024-05,1,5,0,17
M0116,2024-12,0,2,0,20
M0569,2024-07,5,15,2,16
M0034,2024-11,21,68,7,20
M0161,2024-07,5,16,1,18
M0336,2024-03,1,6,0,18
M0325,2024-12,4,73,4,23
M0576,2024-03,4,26,1,7
M0093,2024-07,0,1,0,12
M0029,2024-04,1,13,0,14
M0577,2024-07,1,5,1,20
M0442,2024-11,10,133,10,20
M0117,2024-09,1,6,0,20
M0064,2024-05,7,51,3,23
M0416,2024-06,69,171,6,22
M0102,2024-07,1,3,0,22
M0422,2024-10,6,12,2,44
M0542,2024-09,3,30,1,16
M0468,2024-05,176,367,110,43
M0146,2024-08,6,29,4,27
M0584,2024-02,0,3,1,20
M0142,2024-07,7,37,2,27
M0049,2024-04,1,4,1,16
M0260,2024-04,0,4,1,16
M0583,2024-07,1,9,0,25
M0447,2024-08,0,3,0,15
M0543,2024-08,0,3,0,32
M0417,2024-03,11,54,1,23
M0029,2024-02,1,12,0,16
M0510,2024-11,55,207,25,13
M0312,2024-08,1,3,0,23
M0416,2024-01,52,225,8,22
M0592,2024-12,2,11,1,21
M0397,2024-07,2,3,0,23
M0157,2024-01,4,19,2,10
M0493,2024-05,1,5,1,26
M0199,2024-10,30,131,7,13
M0356,2024-04,9,25,2,11
M0469,2024-11,0,2,0,12
M0219,2024-10,3,10,2,18
M0086,2024-03,1,1,0,23
M0301,2024-04,1,3,0,28
M0278,2024-05,0,1,0,24
M0090,2024-07,18,118,8,13
M0518,2024-07,1,3,0,23
M0453,2024-06,7,19,2,24
M0103,2024-03,35,191,36,19
M0151,2024-09,1,3,0,28
M0019,2024-04,0,5,0,23
M0101,2024-12,12,40,3,19
M0236,2024-05,4,10,3,20
M0368,2024-09,10,86,8,13
M0275,2024-08,49,301,41,24
M0235,2024-10,3,13,1,13
M0081,2024-05,3,14,1,16
M0001,2024-02,1,9,0,30
M0577,2024-10,1,4,0,16
M0571,2024-04,1,8,0,19
M0177,2024-05,1,10,0,23
M0253,2024-03,3,15,3,15
M0212,2024-05,0,2,0,19
M0346,2024-03,1,2,0,23
M0091,2024-02,5,40,4,22
M0378,2024-02,7,35,2,20
M0020,2024-12,10,26,3,25
M0581,2024-02,2,20,2,15
M0431,2024-02,0,4,1,20
M0497,2024-06,2,10,1,18
M0508,2024-02,29,85,10,21
M0036,2024-01,19,159,8,18
M0030,2024-06,1,6,0,18
M0176,2024-09,2,14,1,23
M0562,2024-10,1,4,1,14
M0594,2024-12,1,4,0,20
M0055,2024-09,46,103,31,47
M0576,2024-12,4,35,1,14
M0589,2024-01,5,14,3,23
M0211,2024-10,0,2,0,24
M0417,2024-08,10,70,2,16
M0318,2024-12,4,27,2,20
M0233,2024-09,5,29,2,23
M0322,2024-07,0,1,0,22
M0478,2024-08,0,1,0,24
M0157,2024-06,3,15,1,11
M0333,2024-10,0,1,0,19
M0460,2024-07,3,10,1,17
M0260,2024-05,1,3,0,12
M0225,2024-04,13,52,2,22
M0412,2024-12,8,34,3,28
M0414,2024-06,0,3,0,18
M0494,2024-04,1,3,0,20
M0500,2024-10,5,22,2,21
M0176,2024-11,2,12,1,19
M0113,2024-03,1,24,1,16
M0205,2024-12,2,6,0,14
M0516,2024-04,0,5,0,20
M0173,2024-10,1,2,0,14
M0553,2024-03,2,3,1,46
M0274,2024-08,4,32,1,17
M0303,2024-08,2,5,0,21
M0494,2024-05,2,4,1,22
M0389,2024-10,2,5,0,14
M0071,2024-04,7,16,1,15
M0093,2024-08,0,2,0,14
M0171,2024-03,1,3,0,23
M0333,2024-11,0,1,0,16
M0462,2024-08,5,24,5,26
M0345,2024-06,12,36,6,22
M0484,2024-10,42,157,21,23
M0231,2024-08,2,23,2,22
M0269,2024-05,3,19,3,18
M0464,2024-11,7,47,6,26
M0015,2024-05,0,7,1,24
M0219,2024-02,2,9,1,18
M0449,2024-01,1,10,1,24
M0402,2024-01,0,1,0,18
M0387,2024-11,13,53,5,18
M0155,2024-08,3,14,1,20
M0169,2024-06,1,3,0,17
M0471,2024-04,1,4,0,18
M0544,2024-01,22,46,8,21
M0289,2024-09,2,22,2,21
M0329,2024-04,31,292,11,16
M0409,2024-05,1,3,0,16
M0229,2024-01,3,11,1,21
M0551,2024-06,1,5,1,15
M0223,2024-05,1,5,0,24
M0242,2024-03,0,2,0,22
M0289,2024-02,2,15,2,19
M0303,2024-02,2,5,0,21
M0337,2024-05,7,43,5,16
M0398,2024-06,9,35,2,18
M0361,2024-06,7,10,3,22
M0427,2024-01,0,2,0,15
M0072,2024-06,2,8,0,17
M0177,2024-07,3,10,1,25
M0490,2024-07,3,5,1,21
M0314,2024-11,3,7,1,18
M0399,2024-07,0,2,0,9
M0181,2024-06,9,27,3,18
M0340,2024-06,16,96,3,23
M0367,2024-04,0,2,0,23
M0467,2024-03,1,7,1,24
M0187,2024-09,2,10,1,20
M0348,2024-03,1,6,0,22
M0579,2024-06,54,191,21,11
M0193,2024-11,1,2,0,18
M0086,2024-02,1,2,0,25
M0262,2024-11,0,2,0,31
M0515,2024-08,4,28,2,27
M0320,2024-06,3,13,2,22
M0120,2024-06,6,36,5,16
M0039,2024-03,7,27,5,18
M0245,2024-09,0,4,0,20
M0301,2024-02,1,2,0,21
M0135,2024-04,1,5,0,20
M0066,2024-12,4,27,3,19
M0093,2024-11,0,1,0,9
M0078,2024-03,62,175,23,21
M0313,2024-03,33,73,13,18
M0165,2024-04,5,32,4,26
M0247,2024-01,24,72,13,19
M0409,2024-08,1,7,1,26
M0344,2024-03,0,2,0,17
M0105,2024-07,0,2,0,12
M0398,2024-11,7,35,3,25
M0228,2024-02,1,2,0,20
M0370,2024-10,1,3,0,16
M0309,2024-01,0,1,0,15
M0460,2024-05,3,12,1,13
M0154,2024-03,1,5,1,12
M0013,2024-09,1,2,0,10
M0051,2024-08,5,15,4,64
M0064,2024-04,9,62,2,26
M0111,2024-12,1,5,1,28
M0349,2024-03,2,16,2,28
M0027,2024-07,5,50,3,21
M0181,2024-01,5,20,3,12
M0090,2024-12,20,117,10,21
M0325,2024-02,3,30,1,24
M0153,2024-03,5,55,2,15
M0209,2024-08,1,3,0,24
M0384,2024-09,2,4,0,25
M0328,2024-11,21,92,13,32
M0422,2024-07,5,10,1,39
M0511,2024-03,2,7,1,34
M0150,2024-12,35,267,12,17
M0112,2024-09,1,4,0,18
M0565,2024-12,2,7,0,24
M0017,2024-08,1,4,0,21
M0014,2024-05,1,7,0,14
M0157,2024-08,4,14,2,8
M0596,2024-10,1,5,1,28
M0049,2024-12,2,8,1,13
M0473,2024-12,1,5,0,33
M0404,2024-09,8,20,4,21
M0111,2024-04,1,4,0,14
M0102,2024-12,1,4,1,16
M0296,2024-09,1,7,0,16
M0288,2024-01,2,13,1,21
M0540,2024-02,0,2,0,28
M0143,2024-11,15,36,6,19
M0417,2024-11,8,53,2,20
M0470,2024-03,3,7,1,25
M0438,2024-01,1,3,0,10
M0015,2024-01,0,5,1,12
M0087,2024-04,0,1,0,17
M0438,2024-11,1,3,0,17
M0430,2024-06,2,6,0,25
M0374,2024-05,0,1,0,16
M0360,2024-09,7,42,7,16
M0521,2024-07,7,36,3,19
M0040,2024-10,1,3,1,22
M0411,2024-05,1,5,0,25
M0342,2024-01,4,18,3,13
M0568,2024-01,1,6,0,18
M0139,2024-02,1,6,1,28
M0207,2024-02,1,3,0,19
M0279,2024-09,2,6,1,20
M0218,2024-08,1,4,0,18
M0341,2024-05,7,61,4,17
M0090,2024-01,12,115,11,17
M0066,2024-06,3,28,2,19
M0055,2024-03,2,18,2,21
M0153,2024-08,6,55,2,18
M0522,2024-03,10,43,5,19
M0274,2024-04,4,26,1,19
M0466,2024-12,2,28,3,34
M0486,2024-03,1,4,0,27
M0170,2024-08,0,2,0,30
M0575,2024-12,1,7,1,32
M0347,2024-01,1,5,0,23
M0163,2024-05,8,34,2,17
M0048,2024-07,1,3,0,17
M0240,2024-02,4,38,3,9
M0538,2024-12,11,35,5,12
M0226,2024-11,0,2,0,11
M0039,2024-04,10,32,7,31
M0057,2024-03,0,3,0,20
M0352,2024-10,3,11,2,24
M0259,2024-04,1,3,1,22
M0250,2024-11,0,5,0,22
M0040,2024-04,1,3,1,25
M0302,2024-11,0,1,0,12
M0236,2024-04,3,12,2,19
M0172,2024-05,1,7,0,5
M0303,2024-05,2,6,1,26
M0546,2024-05,4,15,1,16
M0233,2024-11,11,62,4,25
M0457,2024-01,8,46,3,26
M0202,2024-05,2,10,1,28
M0326,2024-09,2,9,0,21
M0174,2024-08,2,6,1,22
M0279,2024-12,2,5,1,12
M0019,2024-06,1,5,0,20
M0256,2024-06,1,5,0,23
M0003,2024-04,1,4,0,19
M0018,2024-07,0,0,0,15
M0066,2024-02,4,29,3,20
M0508,2024-01,26,75,6,21
M0171,2024-11,1,5,0,16
M0081,2024-11,6,22,3,24
M0004,2024-01,27,130,7,27
M0053,2024-08,7,41,6,22
M0487,2024-11,33,199,19,15
M0055,2024-08,22,40,16,36
M0221,2024-03,4,17,1,24
M0326,2024-01,2,11,0,17
M0561,2024-03,1,4,0,17
M0440,2024-11,0,2,0,16
M0085,2024-10,4,11,4,54
M0327,2024-01,0,0,0,10
M0411,2024-03,1,3,0,22
M0021,2024-04,13,50,9,18
M0082,2024-02,1,2,0,16
M0296,2024-03,1,4,0,18
M0521,2024-03,5,30,4,15
M0003,2024-12,2,11,1,25
M0256,2024-12,1,6,0,23
M0275,2024-02,43,242,15,25
M0585,2024-09,11,56,3,22
M0280,2024-02,10,24,1,44
M0372,2024-07,0,2,0,25
M0289,2024-12,2,14,2,19
M0362,2024-02,1,2,1,47
M0341,2024-01,5,36,3,14
M0290,2024-06,12,32,3,14
M0263,2024-05,1,4,0,16
M0332,2024-03,0,5,0,23
M0110,2024-12,1,5,0,29
M0218,2024-10,1,3,0,26
M0599,2024-03,7,107,5,16
M0509,2024-09,1,5,1,14
M0092,2024-06,1,6,0,20
M0399,2024-12,1,2,0,17
M0036,2024-12,35,279,16,21
M0553,2024-09,3,5,2,41
M0503,2024-12,1,4,0,19
M0349,2024-06,2,15,2,25
M0380,2024-02,0,0,0,15
M0429,2024-01,0,1,0,18
M0313,2024-01,46,90,10,20
M0414,2024-02,0,4,0,15
M0021,2024-03,8,46,6,18
M0316,2024-03,3,9,1,24
M0384,2024-07,2,5,0,24
M0383,2024-11,12,27,2,22
M0591,2024-09,1,4,1,36
M0249,2024-10,5,14,3,22
M0505,2024-02,1,7,0,17
M0452,2024-06,0,3,0,20
M0362,2024-05,1,2,1,46
M0503,2024-09,1,4,0,9
M0222,2024-06,0,1,0,17
M0512,2024-06,17,182,29,14
M0107,2024-07,15,98,12,25
M0481,2024-05,21,49,8,33
M0514,2024-03,0,1,0,13
M0013,2024-01,0,1,0,18
M0583,2024-08,1,8,0,26
M0309,2024-03,1,1,0,16
M0247,2024-06,32,87,22,23
M0203,2024-11,1,6,0,19
M0178,2024-08,1,8,1,20
M0153,2024-11,9,52,3,19
M0332,2024-02,0,5,0,19
M0550,2024-04,1,3,0,25
M0065,2024-02,1,3,0,18
M0265,2024-11,1,15,1,22
M0338,2024-12,8,25,4,51
M0191,2024-04,1,3,0,14
M0479,2024-11,5,14,1,16
M0428,2024-09,0,3,1,18
M0547,2024-10,2,4,0,13
M0084,2024-10,3,7,1,17
M0574,2024-11,6,16,1,36
M0450,2024-09,9,22,3,30
M0359,2024-04,1,5,0,22
M0160,2024-05,3,22,1,16
M0262,2024-04,0,1,0,14
M0381,2024-10,0,1,0,15
M0001,2024-06,1,6,0,31
M0459,2024-09,0,3,0,23
M0501,2024-02,0,1,0,17
M0368,2024-10,11,86,6,14
M0205,2024-11,1,5,0,18
M0166,2024-06,0,2,0,14
M0444,2024-01,1,8,0,21
M0299,2024-03,6,19,3,28
M0393,2024-06,0,1,0,11
M0007,2024-10,7,15,5,59
M0389,2024-09,2,8,1,19
M0368,2024-04,10,96,5,13
M0439,2024-12,1,3,0,25
M0364,2024-02,1,5,1,22
M0436,2024-04,1,3,0,15
M0478,2024-04,0,1,0,24
M0484,2024-11,58,129,19,21
M0023,2024-02,0,2,0,16
M0306,2024-11,1,2,0,21
M0467,2024-06,1,6,1,25
M0163,2024-09,10,38,3,20
M0101,2024-05,17,37,4,21
M0092,2024-03,1,4,1,19
M0485,2024-12,1,5,0,23
M0127,2024-11,0,1,0,19
M0005,2024-06,1,2,1,19
M0548,2024-02,0,3,0,20
M0224,2024-05,6,27,2,11
M0559,2024-11,10,34,3,20
M0020,2024-09,5,19,3,20
M0157,2024-11,5,15,1,11
M0031,2024-11,5,41,3,22
M0001,2024-03,1,7,0,33
M0495,2024-09,4,14,0,20
M0599,2024-06,11,112,8,18
M0423,2024-08,52,150,15,27
M0285,2024-06,1,7,1,23
M0462,2024-05,3,20,3,21
M0128,2024-03,1,7,1,21
M0257,2024-01,6,9,3,70
M0217,2024-09,7,33,4,14
M0569,2024-12,10,30,3,15
M0574,2024-10,4,10,1,32
M0134,2024-04,0,3,0,18
M0078,2024-01,57,142,21,22
M0221,2024-01,5,22,1,25
M0006,2024-06,1,5,0,16
M0549,2024-06,8,61,7,25
M0357,2024-11,5,44,3,15
M0471,2024-08,1,5,0,21
M0457,2024-10,9,48,2,24
M0585,2024-08,16,47,3,25
M0203,2024-02,1,7,0,14
M0022,2024-01,19,95,18,9
M0530,2024-02,7,45,2,18
M0204,2024-05,1,5,0,20
M0108,2024-07,3,6,1,47
M0436,2024-09,1,4,1,19
M0202,2024-04,2,7,1,16
M0382,2024-07,7,44,8,22
M0386,2024-10,0,1,0,14
M0494,2024-03,2,4,1,23
M0447,2024-12,1,5,0,20
M0133,2024-12,0,1,0,23
M0174,2024-11,2,5,1,20
M0338,2024-03,2,12,2,25
M0127,2024-07,0,1,0,21
M0152,2024-06,1,6,1,18
M0556,2024-06,2,7,1,30
M0327,2024-04,0,0,0,16
M0585,2024-05,12,52,2,22
M0232,2024-06,0,2,0,17
M0243,2024-12,1,5,0,26
M0457,2024-08,13,42,3,19
M0508,2024-07,31,96,10,26
M0541,2024-02,2,10,1,28
M0278,2024-01,0,1,0,24
M0463,2024-03,1,5,1,29
M0600,2024-06,1,2,0,12
M0279,2024-07,2,6,1,18
M0501,2024-07,0,2,0,17
M0367,2024-10,0,1,0,16
M0216,2024-07,2,4,0,27
M0416,2024-08,49,237,6,22
M0106,2024-08,33,46,9,10
M0029,2024-11,2,24,0,24
M0026,2024-05,5,39,3,15
M0496,2024-07,1,5,0,19
M0595,2024-06,2,15,1,13
M0058,2024-04,1,5,1,18
M0355,2024-03,7,24,5,21
M0166,2024-05,0,3,0,14
M0467,2024-09,1,11,1,20
M0373,2024-05,4,26,2,17
M0542,2024-04,3,24,2,22
M0197,2024-02,8,27,1,25
M0348,2024-10,2,7,0,28
M0574,2024-04,5,15,1,26
M0087,2024-10,0,1,0,21
M0512,2024-01,13,123,21,17
M0264,2024-10,1,8,1,19
M0135,2024-12,2,6,0,20
M0088,2024-06,8,26,4,25
M0251,2024-10,1,4,0,11
M0160,2024-12,8,34,3,16
M0426,2024-01,0,1,0,21
M0016,2024-04,0,4,0,23
M0516,2024-03,1,6,0,26
M0378,2024-05,7,34,3,20
M0140,2024-12,2,30,2,19
M0587,2024-09,1,5,0,13
M0072,2024-01,1,7,0,18
M0452,2024-11,0,2,0,19
M0282,2024-05,1,5,0,19
M0495,2024-01,4,21,1,20
M0332,2024-12,1,10,0,22
M0296,2024-05,1,3,0,14
M0363,2024-08,2,6,1,28
M0460,2024-03,2,7,1,19
M0041,2024-05,6,19,4,19
M0398,2024-07,6,35,3,22
M0307,2024-01,1,5,1,18
M0493,2024-02,1,3,1,28
M0265,2024-07,1,10,1,15
M0012,2024-06,1,7,0,19
M0358,2024-03,5,10,2,53
M0401,2024-02,1,4,0,21
M0154,2024-08,1,5,0,16
M0531,2024-08,3,42,2,18
M0485,2024-03,1,3,0,20
M0020,2024-10,9,26,4,19
M0596,2024-03,1,6,1,21
M0295,2024-01,8,25,3,19
M0475,2024-11,2,9,1,20
M0142,2024-11,11,48,3,19
M0543,2024-10,0,3,0,28
M0332,2024-01,0,5,0,21
M0420,2024-08,3,26,1,14
M0552,2024-07,0,1,0,18
M0130,2024-12,1,10,1,34
M0434,2024-03,0,1,0,19
M0059,2024-05,1,3,0,17
M0173,2024-06,1,2,0,21
M0262,2024-10,0,1,0,19
M0259,2024-03,1,3,1,23
M0566,2024-06,44,99,9,57
M0570,2024-05,4,53,1,14
M0038,2024-06,1,4,1,18
M0543,2024-04,0,3,0,37
M0259,2024-01,1,3,1,19
M0200,2024-06,6,13,4,64
M0565,2024-01,1,9,0,21
M0393,2024-12,0,2,0,4
M0076,2024-02,7,28,2,25
M0419,2024-10,20,54,11,56
M0074,2024-11,2,8,0,16
M0489,2024-06,2,8,0,20
M0002,2024-04,3,30,3,17
M0027,2024-06,4,40,3,22
M0466,2024-11,3,33,4,38
M0429,2024-06,0,1,0,16
M0506,2024-05,8,29,3,13
M0003,2024-03,1,5,0,14
M0121,2024-07,0,1,0,23
M0336,2024-07,1,8,0,21
M0551,2024-11,1,6,1,17
M0480,2024-12,7,34,3,20
M0141,2024-12,8,13,3,65
M0341,2024-10,8,71,6,18
M0207,2024-07,1,3,0,17
M0457,2024-07,13,74,5,23
M0051,2024-06,7,11,4,65
M0155,2024-09,3,18,3,23
M0104,2024-07,0,2,0,18
M0063,2024-03,1,2,0,19
M0497,2024-03,1,8,1,11
M0372,2024-04,0,1,0,24
M0147,2024-02,1,5,0,17
M0452,2024-04,0,2,0,19
M0488,2024-08,19,81,20,17
M0100,2024-09,1,1,0,25
M0041,2024-04,6,26,3,23
M0219,2024-11,2,16,2,17
M0004,2024-12,239,1006,71,62
M0013,2024-02,0,1,0,10
M0008,2024-10,1,1,0,13
M0005,2024-08,1,2,0,17
M0392,2024-06,3,60,3,23
M0529,2024-10,7,18,4,17
M0194,2024-11,1,3,1,29
M0119,2024-10,0,4,0,20
M0464,2024-05,9,66,7,26
M0194,2024-06,1,4,1,26
M0439,2024-08,1,3,0,27
M0504,2024-12,0,3,0,17
M0585,2024-07,12,56,3,17
M0406,2024-10,0,5,1,20
M0563,2024-03,7,39,4,26
M0290,2024-01,7,20,3,14
M0572,2024-12,9,35,3,16
M0225,2024-07,12,58,4,23
M0465,2024-08,3,10,1,20
M0308,2024-02,11,36,3,20
M0525,2024-11,1,4,1,22
M0151,2024-11,1,2,0,20
M0178,2024-11,1,6,1,18
M0159,2024-10,7,34,4,14
M0181,2024-04,4,25,3,15
M0369,2024-06,1,5,0,16
M0380,2024-09,0,1,0,16
M0337,2024-12,13,73,10,27
M0124,2024-03,16,36,2,27
M0144,2024-03,1,3,0,20
M0080,2024-03,10,25,2,17
M0273,2024-06,1,8,1,18
M0035,2024-06,1,3,1,13
M0044,2024-11,38,69,18,66
M0189,2024-12,13,131,5,15
M0586,2024-04,0,2,0,30
M0264,2024-07,1,7,1,19
M0011,2024-06,1,3,1,15
M0104,2024-08,0,2,0,18
M0380,2024-10,0,0,0,15
M0574,2024-05,6,18,1,29
M0282,2024-11,1,4,0,18
M0350,2024-01,12,28,7,61
M0124,2024-05,17,39,4,31
M0340,2024-01,12,44,1,13
M0437,2024-05,0,2,0,24
M0134,2024-10,0,2,0,24
M0346,2024-01,1,2,0,23
M0340,2024-05,11,47,2,19
M0253,2024-04,3,20,1,17
M0353,2024-07,0,1,0,10
M0121,2024-11,0,2,0,18
M0407,2024-05,7,16,5,72
M0497,2024-12,2,18,1,15
M0329,2024-12,21,267,11,15
M0577,2024-09,1,5,0,16
M0232,2024-12,1,3,0,23
M0449,2024-02,2,6,1,28
M0190,2024-06,1,8,1,12
M0566,2024-08,40,65,22,63
M0596,2024-06,1,5,1,23
M0484,2024-07,35,139,17,28
M0300,2024-02,35,162,28,20
M0519,2024-06,0,1,0,9
M0192,2024-02,0,1,0,29
M0558,2024-03,1,5,1,22
M0425,2024-04,6,26,1,19
M0055,2024-06,2,21,3,11
M0145,2024-05,50,165,15,21
M0122,2024-03,25,133,10,26
M0514,2024-02,0,1,0,9
M0589,2024-11,5,17,2,16
M0582,2024-06,7,30,3,23
M0450,2024-11,5,26,2,26
M0010,2024-04,1,4,0,15
M0513,2024-05,5,23,3,25
M0559,2024-05,7,22,2,21
M0373,2024-11,3,17,2,13
M0148,2024-05,1,3,0,17
M0559,2024-01,9,31,3,23
M0290,2024-08,9,27,3,12
M0390,2024-04,2,11,1,21
M0024,2024-07,1,5,0,24
M0029,2024-08,1,16,0,16
M0122,2024-10,56,215,14,41
M0450,2024-07,9,22,2,25
M0082,2024-10,1,3,0,17
M0112,2024-03,1,3,0,15
M0336,2024-02,1,6,0,21
M0507,2024-07,10,38,4,18
M0491,2024-04,1,7,0,18
M0173,2024-09,1,2,0,24
M0573,2024-01,0,2,0,16
M0040,2024-08,1,5,1,24
M0029,2024-07,1,14,0,16
M0001,2024-12,1,7,0,31
M0015,2024-04,0,5,0,13
M0393,2024-01,0,1,0,8
M0131,2024-04,1,2,0,13
M0036,2024-09,21,132,7,16
M0193,2024-10,0,2,0,18
M0355,2024-10,9,18,3,22
M0490,2024-04,2,4,1,18
M0008,2024-05,1,2,0,15
M0213,2024-10,1,3,0,20
M0274,2024-11,4,30,1,17
M0154,2024-04,1,5,1,20
M0330,2024-01,1,2,0,19
M0152,2024-11,1,4,0,16
M0399,2024-10,1,3,0,15
M0339,2024-09,12,37,5,23
M0295,2024-04,11,26,3,21
M0296,2024-08,1,8,0,27
M0442,2024-09,16,106,13,18
M0479,2024-04,4,12,0,12
M0560,2024-09,1,3,0,14
M0444,2024-11,1,12,0,25
M0220,2024-01,1,5,0,16
M0500,2024-04,4,19,1,23
M0033,2024-12,1,3,0,21
M0432,2024-03,0,2,0,28
M0292,2024-12,22,84,6,25
M0065,2024-10,1,3,0,20
M0443,2024-08,2,8,0,27
M0485,2024-02,0,2,0,14
M0476,2024-09,0,2,0,19
M0074,2024-07,2,11,0,17
M0258,2024-03,2,5,0,26
M0032,2024-01,3,12,1,13
M0257,2024-04,8,15,3,62
M0172,2024-12,1,9,0,7
M0305,2024-01,2,5,2,53
M0314,2024-10,3,9,1,14
M0247,2024-04,23,70,12,17
M0466,2024-10,4,32,3,28
M0128,2024-09,1,5,1,22
M0541,2024-04,1,13,2,26
M0257,2024-08,8,8,3,68
M0151,2024-06,1,3,1,34
M0039,2024-02,9,22,6,32
M0474,2024-01,1,3,0,14
M0343,2024-07,3,8,1,26
M0181,2024-08,9,30,3,15
M0231,2024-01,3,19,2,22
M0416,2024-09,55,182,4,16
M0058,2024-07,1,5,1,18
M0359,2024-02,1,4,1,19
M0145,2024-07,66,221,16,16
M0137,2024-01,1,5,1,25
M0139,2024-12,1,7,1,23
M0431,2024-06,1,3,0,33
M0015,2024-11,1,9,1,18
M0004,2024-07,109,331,92,46
M0184,2024-05,4,9,3,60
M0440,2024-09,0,2,0,19
M0067,2024-06,1,4,1,18
M0445,2024-09,0,1,0,16
M0449,2024-11,2,16,2,17
M0056,2024-11,1,5,1,18
M0476,2024-05,0,4,0,15
M0417,2024-02,6,34,1,17
M0471,2024-10,1,6,0,23
M0500,2024-02,5,20,2,17
M0461,2024-10,10,22,4,24
M0300,2024-06,55,157,32,19
M0441,2024-01,9,47,7,19
M0418,2024-03,2,14,2,17
M0084,2024-04,3,5,0,22
M0021,2024-09,7,52,8,21
M0454,2024-08,1,4,0,23
M0471,2024-07,1,5,0,19
M0250,2024-06,0,6,1,17
M0540,2024-03,1,2,0,26
M0446,2024-10,1,6,0,19
M0166,2024-09,0,3,0,12
M0568,2024-07,1,4,0,13
M0405,2024-03,1,7,0,23
M0226,2024-03,0,2,0,13
M0007,2024-11,9,10,4,64
M0164,2024-07,0,1,0,16
M0094,2024-05,1,8,1,11
M0502,2024-02,3,24,1,21
M0244,2024-10,4,33,2,15
M0095,2024-09,9,23,1,26
M0127,2024-03,1,1,0,22
M0105,2024-09,0,2,0,12
M0026,2024-09,7,30,4,14
M0493,2024-12,1,9,1,27
M0423,2024-07,36,127,15,19
M0535,2024-06,2,38,3,12
M0546,2024-10,5,17,2,19
M0452,2024-08,0,2,0,16
M0420,2024-09,2,28,1,9
M0209,2024-11,1,3,0,24
M0096,2024-08,1,2,0,13
M0448,2024-06,1,4,0,10
M0500,2024-08,4,18,1,23
M0291,2024-08,2,13,1,15
M0101,2024-02,12,40,4,17
M0482,2024-12,1,2,0,18
M0313,2024-12,50,83,13,19
M0094,2024-02,1,8,1,13
M0488,2024-02,12,49,13,15
M0124,2024-12,11,52,4,26
M0535,2024-09,3,33,3,18
M0206,2024-01,3,20,4,21
