merchant_id,month,transaction_count,transaction_volume,authorisations,successful_authorisations
M0108,2024-08,228,74529.66,238,228
M0109,2024-01,186,9712.92,205,186
M0533,2024-09,46,9803.44,49,46
M0122,2024-10,3872,48054.60,4144,3872
M0123,2024-11,2514,102372.82,2605,2514
M0254,2024-01,476,142531.46,523,476
M0497,2024-08,422,16016.15,435,422
M0337,2024-04,1920,106948.78,1986,1920
M0312,2024-07,209,14239.05,215,209
M0177,2024-07,336,7082.14,373,336
M0206,2024-01,1261,127620.66,1339,1261
M0182,2024-10,49,2411.69,54,49
M0183,2024-12,362,55459.69,390,362
M0553,2024-09,152,68792.96,163,152
M0279,2024-12,342,40661.75,368,342
M0012,2024-08,279,23065.98,304,279
M0055,2024-08,1970,40183.08,2075,1970
M0158,2024-11,1852,51370.07,2032,1852
M0356,2024-11,1893,967338.76,1960,1893
M0567,2024-07,969,179239.23,1019,969
M0312,2024-09,198,13830.24,205,198
M0124,2024-12,2540,1507338.14,2691,2540
M0547,2024-11,437,8672.93,455,437
M0311,2024-03,1766,31904.80,1920,1766
M0299,2024-08,1091,75426.28,1144,1091
M0507,2024-08,2508,917790.34,2619,2508
M0300,2024-07,10848,237430.36,11540,10848
M0064,2024-11,2050,567807.31,2259,2050
M0550,2024-08,306,92979.54,336,306
M0264,2024-09,266,15126.87,292,266
M0376,2024-10,2242,110631.83,2358,2242
M0277,2024-10,768,49905.88,818,768
M0441,2024-03,1555,39471.87,1646,1555
M0243,2024-09,143,33137.29,147,143
M0444,2024-08,338,34094.64,364,338
M0234,2024-03,275,18704.37,289,275
M0300,2024-01,11254,255210.57,11842,11254
M0405,2024-03,224,34834.70,239,224
M0059,2024-06,151,23218.09,157,151
M0114,2024-08,102,2352.03,107,102
M0399,2024-04,162,61071.46,165,162
M0229,2024-05,365,27580.50,389,365
M0115,2024-10,1340,55487.51,1454,1340
M0194,2024-09,158,41980.95,167,158
M0342,2024-12,1624,56543.14,1793,1624
M0378,2024-10,4817,826237.34,4936,4817
M0110,2024-11,249,70573.97,271,249
M0074,2024-10,288,178815.75,316,288
M0563,2024-09,1562,330358.55,1637,1562
M0075,2024-11,5327,176628.65,5874,5327
M0287,2024-05,225,5373.76,231,225
M0237,2024-07,157,8084.57,173,157
M0433,2024-07,311,125935.60,320,311
M0164,2024-08,66,28614.47,73,66
M0223,2024-05,148,6964.54,159,148
M0039,2024-01,1805,505923.44,1849,1805
M0278,2024-02,37,24899.47,39,37
M0384,2024-07,246,6653.92,263,246
M0133,2024-05,42,2496.72,43,42
M0596,2024-08,350,115149.88,385,350
M0256,2024-05,166,48808.35,174,166
M0270,2024-12,62,16933.78,66,62
M0036,2024-03,7332,2298196.56,7454,7332
M0488,2024-08,5798,483345.56,6314,5798
M0531,2024-01,1497,82549.69,1648,1497
M0291,2024-03,361,30720.34,380,361
M0179,2024-03,4415,212626.65,4598,4415
M0009,2024-05,242,2437.60,251,242
M0251,2024-05,251,5354.32,262,251
M0051,2024-11,374,16941.82,406,374
M0382,2024-09,4554,1313949.99,4998,4554
M0508,2024-03,5416,393983.34,5499,5416
M0571,2024-02,225,94453.02,231,225
M0344,2024-01,145,9485.91,151,145
M0451,2024-06,467,26515.84,504,467
M0016,2024-01,145,34354.59,155,145
M0539,2024-12,3741,158755.71,3907,3741
M0097,2024-02,90,14812.87,97,90
M0436,2024-05,110,46322.00,116,110
M0030,2024-11,201,20147.38,205,201
M0384,2024-02,200,5586.99,208,200
M0375,2024-12,529,9767.67,554,529
M0080,2024-08,1815,58997.41,1942,1815
M0309,2024-01,76,2045.39,82,76
M0051,2024-02,201,9922.17,218,201
M0289,2024-08,777,17230.07,792,777
M0379,2024-03,7550,1779828.57,7818,7550
M0271,2024-08,303,104411.63,315,303
M0570,2024-09,1411,88476.55,1460,1411
M0237,2024-12,179,10433.16,184,179
M0084,2024-03,484,266855.36,504,484
M0487,2024-06,11444,183069.47,12181,11444
M0121,2024-07,49,1309.98,51,49
M0568,2024-07,239,13841.66,252,239
M0429,2024-02,46,4890.85,48,46
M0337,2024-07,2039,98258.41,2171,2039
M0226,2024-09,90,2424.05,93,90
M0163,2024-05,1943,374615.05,2076,1943
M0580,2024-01,210,8517.60,231,210
M0284,2024-10,4272,643990.99,4744,4272
M0313,2024-09,6847,553038.30,7058,6847
M0285,2024-11,241,4350.92,253,241
M0536,2024-07,752,122558.68,779,752
M0482,2024-01,125,6129.90,134,125
M0564,2024-04,166,8377.87,175,166
M0256,2024-04,140,39959.02,147,140
M0187,2024-02,223,28229.12,237,223
M0303,2024-06,224,3849.82,240,224
M0422,2024-10,304,32254.06,333,304
M0561,2024-12,300,17091.71,314,300
M0304,2024-09,137,2127.31,144,137
M0438,2024-03,168,65624.08,183,168
M0524,2024-09,230,59601.17,249,230
M0068,2024-11,10785,217010.35,11917,10785
M0096,2024-05,147,10818.83,157,147
M0346,2024-02,74,945.26,81,74
M0071,2024-12,1077,12970.22,1143,1077
M0215,2024-04,268,84802.70,283,268
M0483,2024-09,122,2753.38,126,122
M0479,2024-11,771,11276.77,823,771
M0469,2024-08,90,1941.96,93,90
M0139,2024-06,312,22806.55,330,312
M0051,2024-06,236,10390.49,247,236
M0011,2024-07,204,3984.67,209,204
M0099,2024-04,9397,694981.10,10073,9397
M0437,2024-11,107,27868.95,115,107
M0398,2024-08,1169,46961.00,1277,1169
M0081,2024-01,888,29326.11,914,888
M0414,2024-10,139,1325.06,150,139
M0184,2024-09,188,49655.57,204,188
M0352,2024-07,997,157912.70,1065,997
M0584,2024-09,240,80388.92,259,240
M0500,2024-02,937,111317.59,974,937
M0261,2024-01,73,16344.12,77,73
M0113,2024-10,2053,1188941.39,2278,2053
M0222,2024-11,124,3862.90,135,124
M0166,2024-06,82,2548.22,84,82
M0262,2024-11,88,6660.79,90,88
M0089,2024-12,87,13738.90,94,87
M0511,2024-11,271,84256.15,283,271
M0370,2024-10,202,4370.70,211,202
M0171,2024-12,288,5607.49,303,288
M0048,2024-04,102,27025.23,111,102
M0083,2024-06,507,15677.57,554,507
M0443,2024-03,213,122848.30,220,213
M0012,2024-12,306,23879.14,326,306
M0498,2024-01,115,43857.78,127,115
M0206,2024-07,1937,202672.17,2089,1937
M0305,2024-11,95,4897.25,99,95
M0027,2024-11,1457,301406.65,1525,1457
M0390,2024-10,691,32292.70,757,691
M0279,2024-10,331,39170.92,352,331
M0291,2024-04,469,38030.11,495,469
M0517,2024-11,223,5948.41,238,223
M0185,2024-03,602,36446.84,666,602
M0248,2024-07,132,5386.57,135,132
M0150,2024-09,11824,799135.20,13082,11824
M0341,2024-12,3044,218965.44,3361,3044
M0054,2024-01,58,1228.48,59,58
M0499,2024-02,746,409956.32,790,746
M0440,2024-04,93,20177.14,101,93
M0483,2024-10,123,3018.73,126,123
M0291,2024-12,729,59312.34,805,729
M0096,2024-02,109,7025.47,119,109
M0396,2024-10,8707,926055.20,9251,8707
M0172,2024-12,833,24541.70,877,833
M0175,2024-01,1280,21765.21,1385,1280
M0446,2024-12,308,12457.62,331,308
M0164,2024-11,46,20452.08,50,46
M0379,2024-11,7252,1805343.11,8055,7252
M0320,2024-01,593,150523.81,643,593
M0254,2024-11,485,143095.03,531,485
M0334,2024-06,1557,13484.37,1704,1557
M0521,2024-09,1517,64516.34,1616,1517
M0207,2024-02,126,2671.64,133,126
M0338,2024-03,394,98950.30,411,394
M0367,2024-03,76,3798.48,78,76
M0236,2024-02,896,32162.85,919,896
M0153,2024-08,1946,55664.82,2077,1946
M0343,2024-09,407,26744.56,431,407
M0390,2024-08,687,33735.68,756,687
M0260,2024-06,271,57967.98,289,271
M0532,2024-02,1118,53287.95,1171,1118
M0028,2024-11,306,100290.32,325,306
M0080,2024-12,1990,62823.13,2126,1990
M0463,2024-02,219,54460.11,223,219
M0293,2024-02,1837,206681.04,2023,1837
M0149,2024-01,498,238945.52,546,498
M0125,2024-05,193,7843.76,213,193
M0491,2024-08,242,14027.57,247,242
M0476,2024-08,191,34001.82,210,191
M0165,2024-09,1174,57376.69,1291,1174
M0210,2024-09,267,21105.42,276,267
M0093,2024-06,67,2109.01,69,67
M0112,2024-06,182,4114.52,187,182
M0290,2024-01,1539,206515.41,1616,1539
M0096,2024-07,194,13204.76,212,194
M0576,2024-02,1521,66638.38,1550,1521
M0080,2024-06,2049,64489.84,2188,2049
M0185,2024-11,925,57082.36,1009,925
M0149,2024-02,545,288756.14,593,545
M0514,2024-02,60,3259.04,66,60
M0570,2024-07,1417,85906.21,1460,1417
M0155,2024-09,986,111066.11,1065,986
M0556,2024-03,190,71167.89,198,190
M0027,2024-10,1173,297693.13,1228,1173
M0408,2024-01,224,6309.07,234,224
M0080,2024-10,1765,56486.71,1824,1765
M0599,2024-03,3746,131227.52,3812,3746
M0319,2024-09,927,24219.66,1016,927
M0049,2024-02,241,128473.49,264,241
M0469,2024-04,74,1504.65,76,74
M0441,2024-04,1420,32940.49,1451,1420
M0213,2024-03,143,16441.97,146,143
M0235,2024-02,788,51555.39,811,788
M0041,2024-06,1419,44276.74,1498,1419
M0272,2024-02,173,40656.80,190,173
M0028,2024-04,299,92561.91,316,299
M0584,2024-12,293,100920.77,304,293
M0064,2024-05,1878,493409.01,1976,1878
M0371,2024-10,62,1252.00,64,62
M0045,2024-10,169,10540.60,188,169
