merchant_id,website_policy_issue,refund_policy_issue,contact_information_issue,website_risk_score,reputation_score,adverse_media_flag
M0113,0,0,0,45,82,0
M0114,0,0,0,4,80,0
M0115,1,1,0,45,62,0
M0116,0,0,0,4,80,0
M0117,0,1,0,45,100,0
M0118,0,0,0,10,97,0
M0119,0,0,0,2,85,0
M0120,0,0,0,15,75,0
M0121,0,0,0,28,82,0
M0122,1,0,0,39,75,0
M0123,0,0,1,6,88,0
M0124,1,0,0,12,71,0
M0125,0,0,0,20,81,0
M0126,0,0,0,37,97,0
M0127,0,0,0,28,85,0
M0128,0,0,0,4,97,0
M0129,0,0,0,0,87,0
M0130,0,1,0,48,60,1
M0131,0,0,0,9,89,0
M0132,0,0,0,32,96,0
M0133,0,0,0,27,84,0
M0134,0,0,0,1,97,0
M0135,0,0,0,17,79,0
M0136,0,0,0,14,86,0
M0137,0,0,0,37,58,1
M0138,1,0,0,46,88,0
M0139,0,1,0,36,67,0
M0140,1,0,0,45,75,0
M0141,0,0,0,17,90,0
M0142,0,0,0,37,91,0
M0143,1,0,0,3,79,0
M0144,0,0,0,4,94,0
M0145,0,0,0,10,99,0
M0146,0,0,0,12,74,0
M0147,0,1,0,27,82,0
M0148,0,0,0,26,88,0
M0149,0,0,0,24,81,0
M0150,0,1,0,43,77,0
M0151,0,1,0,29,61,0
M0152,0,0,0,13,69,0
M0153,0,0,0,9,91,0
M0154,0,0,0,29,83,0
M0155,0,0,0,31,86,0
M0156,0,0,0,30,71,0
M0157,0,0,0,2,97,0
M0158,0,0,0,24,90,0
M0159,0,0,0,25,77,0
M0160,0,1,0,40,67,0
M0161,0,0,0,17,70,0
M0162,0,0,0,35,84,0
M0163,0,1,0,41,74,0
M0164,0,0,0,22,71,0
M0165,0,0,0,10,79,0
M0166,0,0,0,0,98,0
M0167,0,1,0,47,58,0
M0168,0,0,0,19,85,0
M0169,0,0,0,25,81,0
M0170,1,0,0,62,63,1
M0171,0,0,0,20,65,0
M0172,0,0,0,23,80,0
M0173,0,0,0,12,92,0
M0174,0,0,0,37,100,0
M0175,0,0,0,43,81,0
M0176,0,0,0,30,73,0
M0177,1,1,0,35,68,0
M0178,0,0,0,0,74,0
M0179,0,0,0,34,96,0
M0180,0,0,0,16,90,0
M0181,0,0,0,7,78,0
M0182,1,0,0,34,82,0
M0183,0,0,0,32,63,0
M0184,0,0,0,26,77,0
M0185,0,0,0,26,91,0
M0186,0,0,0,43,81,0
M0187,0,0,0,21,84,0
M0188,0,0,0,19,100,0
M0189,0,1,0,37,75,0
M0190,0,0,0,15,90,0
M0191,0,0,0,26,72,0
M0192,0,0,0,70,68,1
M0193,0,0,0,23,100,0
M0194,0,0,0,25,83,0
M0195,0,0,0,9,86,0
M0196,0,0,0,5,83,0
M0197,0,0,1,41,69,0
M0198,0,0,0,0,86,0
M0199,0,0,0,31,100,0
M0200,0,0,0,23,81,0
M0201,0,0,0,33,91,0
M0202,0,0,0,0,90,0
M0203,0,0,0,30,100,0
M0204,0,0,1,48,69,0
M0205,0,0,0,16,66,0
M0206,0,0,0,15,100,0
M0207,0,0,0,12,92,0
M0208,0,0,0,31,85,0
M0209,0,0,0,50,86,0
M0210,0,0,0,19,91,0
M0211,0,0,0,30,87,0
M0212,0,1,0,29,90,0
M0213,0,0,1,19,76,0
M0214,0,0,0,43,61,1
M0215,0,0,0,12,88,0
M0216,0,0,0,14,92,0
M0217,0,0,0,9,66,0
M0218,0,0,0,26,78,0
M0219,0,0,0,30,78,0
M0220,0,0,0,17,86,0
M0221,0,0,0,52,83,0
M0222,0,0,0,10,100,0
M0223,0,0,1,10,75,0
M0224,0,0,0,16,75,0
M0225,0,0,0,16,75,0
M0226,0,0,0,6,87,0
M0227,0,0,0,41,90,0
M0228,0,0,0,25,92,0
M0229,0,0,0,31,93,0
M0230,0,0,0,0,86,0
M0231,0,0,0,40,81,0
M0232,0,0,0,1,93,0
M0233,0,0,0,27,83,0
M0234,0,0,0,9,96,0
M0235,0,0,1,38,85,0
M0236,0,0,0,22,72,0
M0237,0,0,0,36,75,0
M0238,0,0,0,18,87,0
M0239,0,0,0,12,93,0
M0240,0,0,0,17,86,0
M0241,0,0,0,7,82,0
M0242,0,0,0,32,91,0
M0243,0,0,0,19,83,0
M0244,0,1,0,40,69,0
M0245,0,0,0,35,90,0
M0246,0,0,0,5,89,0
M0247,0,0,0,29,81,0
M0248,0,0,0,12,98,0
M0249,0,0,0,15,71,0
M0250,0,0,0,21,84,0
M0251,0,0,0,7,87,0
M0252,0,0,0,2,77,0
M0253,0,0,0,18,80,0
M0254,0,0,1,31,81,0
M0255,0,1,0,44,77,0
M0256,0,0,0,15,86,0
M0257,0,1,0,20,74,0
M0258,0,0,0,20,74,0
M0259,0,1,0,20,81,0
M0260,0,0,0,35,89,0
M0261,0,0,0,18,74,0
M0262,0,0,0,26,75,0
M0263,1,0,1,37,73,0
M0264,0,0,0,23,71,0
M0265,0,0,0,24,100,0
M0266,0,0,0,20,94,0
M0267,0,0,0,29,69,0
M0268,0,0,0,21,89,0
M0269,0,0,0,21,90,0
M0270,0,0,0,25,71,0
M0271,0,1,0,18,85,0
M0272,0,0,0,32,74,0
M0273,0,0,0,13,76,0
M0274,0,0,1,36,92,0
M0275,0,0,0,29,84,0
M0276,0,0,0,37,91,0
M0277,1,0,0,36,70,0
M0278,0,1,0,43,77,0
M0279,0,0,0,16,91,0
M0280,0,0,1,35,66,0
M0281,1,0,0,36,90,0
M0282,0,0,0,36,100,0
M0283,0,0,0,32,82,0
M0284,0,0,0,37,88,0
M0285,0,0,0,23,98,0
M0286,0,0,0,0,95,0
M0287,0,0,0,0,80,0
M0288,0,0,0,7,92,0
M0289,0,0,0,22,68,0
M0290,0,0,0,0,97,0
M0291,0,0,0,24,77,0
M0292,0,0,0,38,87,0
M0293,0,0,0,9,100,0
M0294,1,1,0,35,75,0
M0295,0,0,0,20,100,0
M0296,0,0,0,16,77,0
M0297,0,0,1,35,67,0
M0298,0,0,0,35,82,0
M0299,0,1,0,20,77,0
M0300,0,0,1,47,100,0
M0301,1,0,0,48,73,0
M0302,0,0,0,20,87,0
M0303,0,0,0,37,97,0
M0304,1,1,1,38,44,0
M0305,0,0,0,24,80,0
M0306,0,0,0,4,65,0
M0307,0,0,0,17,NULL,0
M0308,1,1,0,41,64,0
M0309,0,0,0,26,100,0
M0310,0,0,0,31,83,0
M0311,0,0,0,16,80,0
M0312,0,0,0,25,63,0
M0313,0,0,1,32,74,0
M0314,1,0,0,39,83,0
M0315,0,0,0,21,90,0
M0316,0,0,0,20,78,0
M0317,0,0,0,73,90,1
M0318,0,0,0,14,65,0
M0319,0,0,0,22,86,0
M0320,0,1,0,15,84,0
M0321,0,0,0,18,78,0
M0322,0,0,0,0,80,0
M0323,0,0,1,60,69,0
M0324,0,0,0,35,81,0
M0325,0,0,0,0,89,0
M0326,0,0,0,29,99,0
M0327,0,0,0,31,100,0
M0328,1,0,0,21,84,0
M0329,0,0,0,30,85,0
M0330,0,0,0,14,87,0
M0331,0,0,0,10,100,0
M0332,0,0,0,12,84,0
M0333,0,0,0,41,83,0
M0334,0,0,0,25,85,0
M0335,0,0,0,36,89,0
M0336,0,0,0,30,84,0
M0337,0,0,0,15,92,0
M0338,0,0,0,3,86,0
M0339,0,1,1,36,58,0
M0340,0,0,0,18,72,0
M0341,0,0,0,15,89,0
M0342,0,0,0,10,80,0
M0343,0,0,0,11,100,0
M0344,0,0,0,10,83,0
M0345,1,0,0,31,74,0
M0346,0,0,0,35,92,0
M0347,0,0,0,22,89,0
M0348,0,0,0,21,74,0
M0349,1,1,0,40,55,0
M0350,0,0,0,26,78,0
M0351,0,0,0,28,80,0
M0352,0,0,0,17,81,0
M0353,0,0,0,21,81,0
M0354,0,0,0,34,70,0
M0355,0,0,0,23,74,0
M0356,0,0,0,21,83,0
M0357,0,0,0,25,76,0
M0358,0,0,0,28,83,0
M0359,0,1,0,32,86,0
M0360,1,0,0,25,77,0
M0361,0,0,0,19,76,0
M0362,0,0,0,33,100,0
M0363,0,0,0,23,79,0
M0364,0,0,0,0,81,0
M0365,0,0,0,30,84,0
M0366,0,1,0,29,67,0
M0367,0,0,0,13,89,0
M0368,0,0,0,32,99,0
M0369,0,0,0,31,79,0
M0370,0,0,1,28,74,0
M0371,0,0,0,3,86,0
M0372,0,0,0,0,59,0
M0373,0,0,0,14,77,0
M0374,1,0,0,25,79,0
M0375,0,0,0,2,81,0
M0376,0,0,0,36,71,0
M0377,1,0,0,25,72,0
M0378,0,0,0,31,72,0
M0379,0,0,0,0,97,0
M0380,0,0,0,16,78,0
M0381,0,0,0,23,90,0
M0382,0,1,0,29,71,0
M0383,0,0,0,15,86,0
M0384,1,1,1,92,66,0
M0385,0,1,0,49,73,0
M0386,1,0,0,55,82,0
M0387,0,0,0,12,77,0
M0388,0,0,0,30,87,0
M0389,0,0,0,13,95,0
M0390,0,0,0,31,87,0
M0391,0,1,0,5,NULL,0
M0392,0,1,0,27,59,0
M0393,0,0,0,12,92,0
M0394,0,0,0,0,100,0
M0395,0,0,0,9,92,0
M0396,0,0,0,28,88,0
M0397,0,0,0,29,96,0
M0398,0,0,0,32,95,0
M0399,0,0,0,14,93,0
M0400,0,0,0,18,88,0
M0401,0,0,0,37,72,0
M0402,0,0,0,1,89,0
M0403,0,0,0,25,88,0
M0404,0,0,0,21,94,0
M0405,0,0,0,43,86,0
M0406,0,1,0,31,NULL,0
M0407,0,0,0,11,86,0
M0408,0,0,0,22,75,0
M0409,1,0,0,22,70,0
M0410,0,1,0,40,86,0
M0411,0,1,0,40,48,0
M0412,0,0,0,9,85,0
M0413,0,1,0,19,72,0
M0414,1,0,0,37,81,0
M0415,0,0,0,18,100,0
M0416,0,0,1,42,82,0
M0417,0,0,0,28,92,0
M0418,0,0,0,33,93,0
M0419,0,1,0,62,42,1
M0420,0,0,0,23,94,0
M0421,0,0,1,26,78,0
M0422,0,0,0,25,75,0
M0423,0,0,0,26,100,0
M0424,0,0,0,0,86,0
M0425,0,0,1,28,62,0
M0426,0,0,0,33,81,0
M0427,0,0,0,32,85,0
M0428,0,0,0,43,95,0
M0429,0,0,0,0,82,0
M0430,0,0,1,37,83,0
M0431,0,0,0,44,59,1
M0432,0,0,0,53,68,1
M0433,1,0,0,32,72,0
M0434,0,0,0,26,65,0
M0435,0,0,0,15,94,0
M0436,0,0,0,22,76,0
M0437,0,0,0,35,72,0
M0438,0,0,0,0,89,0
M0439,0,1,1,43,71,0
M0440,0,0,0,0,88,0
M0441,0,1,0,42,78,0
M0442,0,1,0,14,86,0
M0443,0,0,0,31,68,0
M0444,0,0,0,34,87,0
M0445,0,0,0,11,92,0
M0446,0,0,0,6,60,0
M0447,0,0,0,24,83,0
M0448,0,0,0,18,72,0
M0449,0,0,0,32,75,0
M0450,1,0,0,32,73,0
M0451,0,1,0,31,81,0
M0452,1,0,0,29,89,0
M0453,0,0,0,12,66,0
M0454,0,0,0,18,62,0
M0455,0,0,0,0,100,0
M0456,1,0,0,30,70,0
M0457,0,0,0,49,83,0
M0458,0,0,0,5,95,0
M0459,0,0,0,10,92,0
M0460,0,0,0,10,74,0
M0461,0,0,0,31,85,0
M0462,0,0,0,37,85,0
M0463,1,0,0,45,78,0
M0464,0,0,0,19,75,1
M0465,0,0,0,28,75,0
M0466,0,0,0,56,72,1
M0467,0,0,0,19,66,0
M0468,0,0,0,15,73,0
M0469,0,0,0,16,89,0
M0470,0,0,0,30,99,0
M0471,0,0,0,26,93,0
M0472,0,0,0,21,74,0
M0473,0,0,0,0,93,0
M0474,0,0,0,27,85,0
M0475,0,0,0,23,98,0
M0476,1,0,0,20,73,0
M0477,1,0,0,32,85,0
M0478,0,0,0,25,54,0
M0479,0,0,0,0,82,0
M0480,0,0,0,25,83,0
M0481,0,0,0,24,76,0
M0482,0,0,0,35,67,0
M0483,0,0,1,37,79,0
M0484,0,0,0,27,82,0
M0485,1,0,0,31,87,0
M0486,0,0,0,19,70,0
M0487,0,0,0,9,91,0
M0488,0,1,0,20,58,0
M0489,0,0,0,18,70,0
M0490,0,0,0,12,98,0
M0491,0,0,0,15,76,0
M0492,1,0,0,35,68,0
M0493,0,0,0,39,59,1
M0494,0,0,0,30,100,0
M0495,0,0,1,34,72,0
M0496,0,0,0,33,85,0
M0497,1,0,0,4,92,0
M0498,0,0,1,40,53,0
M0499,0,0,1,53,66,0
M0500,0,0,0,9,83,0
M0501,0,0,0,3,100,0
M0502,0,0,0,24,98,0
M0503,0,0,1,25,84,0
M0504,0,0,0,27,86,0
M0505,0,0,0,0,66,0
M0506,0,0,0,23,86,0
M0507,0,0,1,30,70,0
M0508,0,0,0,31,80,0
M0509,0,0,0,12,93,0
M0510,0,0,0,6,100,0
M0511,0,0,0,24,83,0
M0512,0,0,0,17,70,0
M0513,0,0,0,14,90,0
M0514,0,0,0,21,89,0
M0515,0,0,0,33,82,0
M0516,1,0,0,50,65,0
M0517,0,0,0,31,79,0
M0518,0,1,0,28,73,0
M0519,0,0,0,33,100,0
M0520,0,0,0,33,86,0
M0521,0,0,0,9,82,0
M0522,0,0,0,8,75,0
M0523,0,0,0,26,94,0
M0524,0,0,0,10,84,0
M0525,0,0,0,29,74,0
M0526,0,0,0,0,96,0
M0527,0,0,0,4,85,0
M0528,1,0,0,23,79,0
M0529,0,0,0,30,91,0
M0530,0,0,0,18,93,0
M0531,0,1,0,41,NULL,0
M0532,0,0,0,29,91,0
M0533,0,0,0,27,98,0
M0534,0,0,0,6,100,0
M0535,0,0,0,27,72,0
M0536,0,0,0,24,85,0
M0537,0,0,1,44,88,0
M0538,0,0,0,12,100,0
M0539,0,0,0,13,87,0
M0540,0,1,0,1,75,0
M0541,1,0,1,65,50,0
M0542,0,0,0,9,89,0
M0543,0,0,1,64,66,1
M0544,1,1,0,57,80,0
M0545,0,0,0,13,90,0
M0546,0,0,0,21,100,0
M0547,0,0,0,18,92,0
M0548,0,0,0,18,99,0
M0549,0,0,0,24,100,0
M0550,1,0,1,41,67,0
M0551,0,0,0,14,91,0
M0552,0,0,0,57,37,1
M0553,1,1,0,29,67,0
M0554,0,0,0,21,77,0
M0555,0,0,1,47,49,1
M0556,1,0,0,26,71,0
M0557,0,0,0,29,94,0
M0558,0,0,0,26,87,0
M0559,0,0,0,19,65,0
M0560,0,1,0,8,73,0
M0561,0,0,0,19,79,0
M0562,0,1,0,17,82,0
M0563,0,0,0,21,86,0
M0564,0,1,0,49,61,1
M0565,0,0,0,0,78,0
M0566,0,0,0,17,67,0
M0567,0,0,0,24,75,0
M0568,0,0,0,51,82,0
M0569,0,0,1,9,78,0
M0570,0,0,0,38,100,0
M0571,0,0,0,13,71,0
M0572,0,0,0,27,72,0
M0573,0,0,0,25,100,0
M0574,0,0,0,35,59,1
M0575,0,0,0,36,94,0
M0576,0,0,0,18,76,0
M0577,0,0,0,10,80,0
M0578,0,0,0,16,79,0
M0579,0,0,0,4,84,0
M0580,0,0,0,27,86,0
M0581,0,0,0,18,83,0
M0582,0,0,1,46,56,1
M0583,0,0,0,29,74,0
M0584,0,0,0,13,89,0
M0585,0,0,1,49,98,0
M0586,0,0,0,48,64,1
M0587,0,0,0,6,75,0
M0588,0,0,0,12,96,0
M0589,0,0,0,16,90,0
M0590,0,0,0,23,69,0
M0591,0,0,0,0,82,0
M0592,0,0,0,28,92,0
M0593,1,0,0,35,67,0
M0594,0,0,0,17,80,0
M0595,0,0,0,0,88,0
M0596,0,0,0,8,81,0
M0597,0,0,0,36,82,0
M0598,0,0,0,10,98,0
M0599,0,0,0,21,76,0
M0600,0,1,0,25,69,0
