merchant_id,merchant_name,payfac_id,onboard_date,industry,mcc,country,delivery_days,merchant_status
M0041,"Maple Group Digital",PF01,2020-12-28,"Digital Services",5818,Singapore,1,Active
M0042,"Silver Partners Learning",PF05,2020-08-17,Education,8299,"United Kingdom",27,Suspended
M0043,"Crest Gate Digital",PF01,2021-06-08,"Digital Services",5818,Brazil,0,Active
M0044,"North Co Digital",PF08,2019-01-21,"Digital Services",5818,"United Kingdom",1,Active
M0045,"Atlas Ventures Retail",PF07,2020-06-26,Retail,5411,Brazil,5,Active
M0046,"Clover Bay Retail",PF07,2019-04-08,Retail,5411,"United Kingdom",4,Active
M0047,"Golden Collective Stays",PF04,2018-11-03,Hospitality,7011,"United Arab Emirates",1,Active
M0048,"Union Exchange Travel",PF10,2018-07-22,Travel,4722,Germany,22,Active
M0049,"Prime Loft Learning",PF01,2021-06-04,Education,8299,"United Kingdom",10,Active
M0050,"Echo Market Retail",PF03,2018-01-02,Retail,5411,Brazil,8,Active
M0051,"Lumen Depot Retail",PF02,2021-10-08,Retail,5411,"United States",4,Active
M0052,"Meridian Trail Digital",PF09,2020-07-09,"Digital Services",5818,"United States",1,Active
M0053,"Anchor Studio Learning",PF05,2020-02-20,Education,8299,"United Kingdom",14,Active
M0054,"Pioneer Hub Retail",PF07,2022-06-27,Retail,5411,Australia,10,Active
M0055,"Aster Works Retail",PF01,2021-02-21,Retail,5411,Canada,3,Active
M0056,"Quartz Point Cloud",PF10,2022-04-12,SaaS/Subscriptions,5817,France,0,Active
M0057,"Willow Line Travel",PF04,2022-02-20,Travel,4722,"United Kingdom",24,Active
M0058,"Beacon Labs Retail",PF04,2018-03-10,Retail,5411,Germany,7,Active
M0059,"Coral House Stays",PF10,2019-04-04,Hospitality,7011,"United States",0,Active
M0060,"Delta Field Cloud",PF03,2021-04-29,SaaS/Subscriptions,5817,"United Arab Emirates",0,Closed
M0061,"Nova Group Health",PF03,2023-09-09,Healthcare,8011,France,4,Active
M0062,"Blue Partners Events",PF05,2018-11-25,Events,7922,Australia,18,Active
M0063,"Summit Gate Travel",PF01,2018-08-13,Travel,4722,"United Arab Emirates",60,Active
M0064,"Bright Co Events",PF02,2023-06-28,Events,7922,Germany,60,Active
M0065,"River Ventures Cloud",PF02,2023-08-22,SaaS/Subscriptions,5817,"South Africa",0,Active
M0066,"Cedar Bay Learning",PF01,2018-12-23,Education,8299,India,2,Active
M0067,"Orbit Collective Retail",PF08,2020-05-05,Retail,5411,"United States",5,Active
M0068,"Vertex Exchange Digital",PF05,2021-08-27,"Digital Services",5818,Germany,1,Active
M0069,"Harbor Loft Learning",PF03,2019-02-20,Education,8299,"United States",16,Active
M0070,"Falcon Market Cloud",PF03,2019-11-26,SaaS/Subscriptions,5817,"United States",0,Active
M0071,"Maple Depot Digital",PF03,2020-04-21,"Digital Services",5818,"United States",0,Suspended
M0072,"Silver Trail Stays",PF05,2021-09-28,Hospitality,7011,India,0,Active
M0073,"Crest Studio Travel",PF09,2019-10-19,Travel,4722,Singapore,74,Active
M0074,"North Hub Travel",PF09,2020-05-28,Travel,4722,"United Kingdom",81,Active
M0075,"Atlas Works Digital",PF03,2019-09-09,"Digital Services",5818,Germany,0,Active
M0076,"Clover Point Retail",PF02,2022-06-07,Retail,5411,Nigeria,7,Active
M0077,"Golden Line Stays",PF03,2018-11-22,Hospitality,7011,Australia,2,Active
M0078,"Union Labs Retail",PF04,2019-05-07,Retail,5411,India,3,Active
M0079,"Prime House Stays",PF04,2019-06-17,Hospitality,7011,"United Kingdom",0,Active
M0080,"Echo Field Digital",PF05,2023-04-14,"Digital Services",5818,"South Africa",1,Active
M0081,"Lumen Group Retail",PF04,2023-07-05,Retail,5411,"United Kingdom",4,Active
M0082,"Meridian Partners Cloud",PF02,2020-12-01,SaaS/Subscriptions,5817,"United Kingdom",0,Active
M0083,"Anchor Gate Cloud",PF03,2018-11-30,SaaS/Subscriptions,5817,"South Africa",0,Active
M0084,"Pioneer Co Learning",PF03,2022-05-30,Education,8299,India,23,Active
M0085,"Aster Ventures Cloud",PF01,2020-11-14,SaaS/Subscriptions,5817,Australia,0,Active
M0086,"Quartz Bay Travel",PF01,2022-12-15,Travel,4722,"United Arab Emirates",55,Active
M0087,"Willow Collective Travel",PF06,2020-02-06,Travel,4722,Singapore,90,Active
M0088,"Beacon Exchange Services",PF03,2023-10-29,"Consumer Services",7299,"United Kingdom",0,Active
M0089,"Coral Loft Health",PF02,2022-09-15,Healthcare,8011,"United Kingdom",5,Active
M0090,"Delta Market Digital",PF04,2019-04-23,"Digital Services",5818,"United Kingdom",0,Active
M0091,"Nova Depot Events",PF07,2022-03-26,Events,7922,"United States",15,Active
M0092,"Blue Trail Services",PF02,2019-09-04,"Consumer Services",7299,Brazil,4,Active
M0093,"Summit Studio Digital",PF07,2020-01-16,"Digital Services",5818,"United Kingdom",1,Active
M0094,"Bright Hub Digital",PF09,2019-06-18,"Digital Services",5818,"United Arab Emirates",1,Active
M0095,"River Works Retail",PF05,2021-12-24,Retail,5411,Canada,3,Active
M0096,"Cedar Point Events",PF05,2019-07-14,Events,7922,Canada,17,Active
M0097,"Orbit Line Travel",PF01,2021-09-22,Travel,4722,Germany,60,Suspended
M0098,"Vertex Labs Health",PF09,2021-05-25,Healthcare,8011,India,5,Active
M0099,"Harbor House Retail",PF03,2022-05-19,Retail,5411,France,6,Active
M0100,"Falcon Field Stays",PF09,2023-10-18,Hospitality,7011,Singapore,2,Active
M0101,"Maple Group Cloud",PF05,2018-01-19,SaaS/Subscriptions,5817,Canada,0,Active
M0102,"Silver Partners Retail",PF01,2023-10-11,Retail,5411,"South Africa",11,Active
M0103,"Crest Gate Stays",PF01,2018-08-21,Hospitality,7011,Canada,2,Active
M0104,"North Co Health",PF06,2021-01-27,Healthcare,8011,"United States",3,Active
M0105,"Atlas Ventures Digital",PF04,2019-12-28,"Digital Services",5818,"United Arab Emirates",1,Active
M0106,"Clover Bay Digital",PF01,2021-09-23,"Digital Services",5818,"United States",1,Active
M0107,"Golden Collective Retail",PF06,2022-03-18,travel,5411,Singapore,9,Active
M0108,"Union Exchange Learning",PF08,2023-01-06,Education,8299,Nigeria,17,Active
M0109,"Prime Loft Retail",PF04,2020-05-06,Retail,5411,India,7,Active
M0110,"Echo Market Learning",PF04,2023-06-11,Education,8299,Germany,13,Active
M0111,"Lumen Depot Travel",PF01,2019-11-18,Travel,4722,"United States",66,Active
M0112,"Meridian Trail Cloud",PF07,2019-03-11,SaaS/Subscriptions,5817,Nigeria,0,Active
M0113,"Anchor Studio Travel",PF03,2020-03-18,Travel,4722,"United States",NULL,Active
M0114,"Pioneer Hub Retail",PF08,2021-01-30,Retail,5411,"United States",12,Active
M0115,"Aster Works Cloud",PF03,2021-11-24,SaaS/Subscriptions,5817,"United Kingdom",0,Active
M0116,"Quartz Point Stays",PF04,2022-11-09,Hospitality,7011,"United States",1,Active
M0117,"Willow Line Travel",PF02,2019-04-24,Travel,4722,India,27,Active
M0118,"Beacon Labs Retail",PF01,2019-10-08,Retail,5411,India,8,Active
M0119,"Coral House Stays",PF07,2023-06-23,Hospitality,7011,"United Kingdom",0,Suspended
M0120,"Delta Field Services",PF04,2020-07-25,"Consumer Services",7299,"United States",0,Active
M0121,"Nova Group Retail",PF04,2019-05-30,Retail,5411,"United States",2,Active
M0122,"Blue Partners Cloud",PF10,2023-10-01,SaaS/Subscriptions,5817,Germany,0,Active
M0123,"Summit Gate Retail",PF10,2020-08-14,Retail,5411,"United States",8,Active
M0124,"Bright Co Travel",PF08,2023-09-30,Travel,4722,Singapore,87,Active
M0125,"River Ventures Services",PF02,2023-05-13,"Consumer Services",7299,"United States",3,Active
M0126,"Cedar Bay Retail",PF05,2023-04-15,Retail,5411,"United Kingdom",6,Suspended
M0127,"Orbit Collective Digital",PF08,2021-05-24,"Digital Services",5818,Germany,0,Active
M0128,"Vertex Exchange Travel",PF03,2022-08-28,Travel,4722,Germany,67,Suspended
M0129,"Harbor Loft Retail",PF01,2023-08-08,Retail,5411,"United States",2,Active
M0130,"Falcon Market Retail",PF07,2019-07-28,Retail,5411,"United States",11,Active
M0131,"Maple Depot Services",PF04,2018-03-22,"Consumer Services",7299,Brazil,4,Active
M0132,"Silver Trail Retail",PF04,2019-11-15,Retail,5411,NULL,12,Active
M0133,"Crest Studio Retail",PF10,2021-09-18,Retail,5411,India,5,Active
M0134,"North Hub Events",PF05,2021-03-11,Events,7922,India,21,Active
M0135,"Atlas Works Cloud",PF03,2018-06-21,SaaS/Subscriptions,5817,"United Kingdom",0,Active
M0136,"Clover Point Retail",PF03,2021-04-09,Retail,5411,Germany,5,Active
M0137,"Golden Line Retail",PF03,2019-01-07,Retail,5411,Canada,10,Active
M0138,"Union Labs Travel",PF01,2020-12-12,Travel,4722,Brazil,35,Active
M0139,"Prime House Health",PF07,2021-05-11,Healthcare,8011,"United Kingdom",5,Active
M0140,"Echo Field Health",PF08,2021-09-18,Healthcare,8011,"United Kingdom",0,Active
M0141,"Lumen Group Stays",PF02,2020-05-28,Hospitality,7011,"United Kingdom",0,Active
M0142,"Meridian Partners Retail",PF02,2020-05-19,Retail,5411,NULL,4,Active
M0143,"Anchor Gate Travel",PF08,2021-12-16,Travel,4722,Singapore,73,Active
M0144,"Pioneer Co Learning",PF01,2022-05-15,Education,8299,"United Kingdom",18,Active
M0145,"Aster Ventures Events",PF04,2022-09-17,Events,7922,"United Kingdom",30,Active
M0146,"Quartz Bay Learning",PF04,2019-12-12,Education,8299,Nigeria,20,Active
M0147,"Willow Collective Digital",PF06,2020-06-22,"Digital Services",5818,"United States",1,Active
M0148,"Beacon Exchange Digital",PF01,2019-12-06,"Digital Services",5818,India,1,Active
M0149,"Coral Loft Travel",PF05,2021-01-28,Travel,4722,Australia,56,Active
M0150,"Delta Market Services",PF03,2018-09-28,"Consumer Services",7299,"United States",0,Active
M0151,"Nova Depot Events",PF05,2020-07-05,Events,7922,"United States",26,Active
M0152,"Blue Trail Travel",PF01,2019-02-06,Travel,4722,"United States",57,Active
M0153,"Summit Studio Retail",PF04,2021-02-08,Retail,5411,"South Africa",3,Active
M0154,"Bright Hub Cloud",PF04,2022-12-17,SaaS/Subscriptions,5817,"United States",0,Active
M0155,"River Works Health",PF02,2023-09-30,Healthcare,8011,"United States",2,Suspended
M0156,"Cedar Point Digital",PF01,2020-08-08,"Digital Services",5818,"United States",0,Active
M0157,"Orbit Line Cloud",PF02,2018-04-30,SaaS/Subscriptions,5817,"United States",0,Active
M0158,"Vertex Labs Services",PF03,2019-05-01,"Consumer Services",7299,"United Arab Emirates",4,Active
M0159,"Harbor House Cloud",PF01,2018-08-12,SaaS/Subscriptions,5817,"United Kingdom",0,Active
M0160,"Falcon Field Retail",PF09,2022-06-06,Retail,5411,"United Arab Emirates",3,Active
M0161,"Maple Group Events",PF03,2023-09-29,Events,7922,"United Arab Emirates",18,Active
M0162,"Silver Partners Services",PF07,2021-03-25,"Consumer Services",7299,Brazil,3,Active
M0163,"Crest Gate Stays",PF10,2019-01-12,Hospitality,7011,"United States",0,Active
M0164,"North Co Travel",PF01,2018-02-15,Travel,4722,Brazil,44,Active
M0165,"Atlas Ventures Retail",PF05,2023-09-11,Retail,5411,"United Arab Emirates",5,Active
M0166,"Clover Bay Services",PF08,2019-11-05,"Consumer Services",7299,"United States",1,Active
M0167,"Golden Collective Health",PF05,2018-08-27,Healthcare,8011,Canada,4,Active
M0168,"Union Exchange Digital",PF03,2019-01-13,"Digital Services",5818,Brazil,1,Closed
M0169,"Prime Loft Health",PF03,2019-06-28,Healthcare,8011,"United Kingdom",1,Active
M0170,"Echo Market Health",PF01,2021-10-29,Healthcare,8011,"South Africa",4,Active
M0171,"Lumen Depot Retail",PF04,2023-03-15,Retail,5411,India,9,Active
M0172,"Meridian Trail Cloud",PF10,2019-08-09,SaaS/Subscriptions,5817,"United Arab Emirates",0,Active
M0173,"Anchor Studio Digital",PF09,2022-01-03,"Digital Services",5818,France,1,Active
M0174,"Pioneer Hub Learning",PF01,2018-05-19,Education,8299,Germany,17,Active
M0175,"Aster Works Cloud",PF06,2018-01-22,SaaS/Subscriptions,5817,Canada,0,Active
M0176,"Quartz Point Travel",PF02,2018-04-28,Travel,4722,"United Kingdom",86,Active
M0177,"Willow Line Digital",PF09,2023-05-21,"Digital Services",5818,Canada,0,Active
M0178,"Beacon Labs Events",PF01,2021-05-24,Events,7922,"United Arab Emirates",32,Active
M0179,"Coral House Services",PF09,2022-09-12,"Consumer Services",7299,"United States",3,Active
M0180,"Delta Field Events",PF08,2018-02-16,Events,7922,Germany,53,Active
M0181,"Nova Group Stays",PF01,2018-02-17,Hospitality,7011,"United Kingdom",2,Active
M0182,"Blue Partners Health",PF01,2022-12-13,Healthcare,8011,"United States",0,Active
M0183,"Summit Gate Stays",PF08,2018-08-07,Hospitality,7011,"United States",1,Active
M0184,"Bright Co Stays",PF01,2018-11-27,Hospitality,7011,"United Kingdom",2,Active
M0185,"River Ventures Retail",PF04,2021-01-10,Retail,5411,"United States",4,Active
M0186,"Cedar Bay Health",PF09,2021-07-15,Healthcare,8011,"United States",5,Closed
M0187,"Orbit Collective Stays",PF04,2019-05-03,Hospitality,7011,Australia,2,Suspended
M0188,"Vertex Exchange Cloud",PF03,2020-08-05,SaaS/Subscriptions,5817,Australia,0,Active
M0189,"Harbor Loft Digital",PF03,2021-12-08,"Digital Services",5818,Australia,1,Active
M0190,"Falcon Market Services",PF01,2020-08-01,"Consumer Services",7299,"United Kingdom",0,Active
M0191,"Maple Depot Retail",PF10,2020-03-26,Retail,5411,"South Africa",8,Active
M0192,"Silver Trail Stays",PF02,2018-06-02,Hospitality,7011,"United Arab Emirates",1,Active
M0193,"Crest Studio Travel",PF02,2020-08-20,Travel,4722,"United States",64,Active
M0194,"North Hub Events",PF02,2022-09-06,Events,7922,"United States",53,Active
M0195,"Atlas Works Stays",PF10,2021-08-27,Hospitality,7011,Singapore,NULL,Active
M0196,"Clover Point Learning",PF01,2023-03-18,Education,8299,"United States",16,Closed
M0197,"Golden Line Stays",PF08,2018-09-26,Hospitality,7011,India,2,Active
M0198,"Union Labs Retail",PF06,2018-01-24,Retail,5411,France,10,Active
M0199,"Prime House Digital",PF08,2021-03-13,"Digital Services",5818,"United States",1,Closed
M0200,"Echo Field Retail",PF10,2019-01-16,Retail,5411,"United States",5,Active
M0201,"Lumen Group Stays",PF08,2021-06-19,Hospitality,7011,France,2,Active
M0202,"Meridian Partners Digital",PF09,2023-04-10,"Digital Services",5818,"United Arab Emirates",0,Active
M0203,"Anchor Gate Digital",PF01,2019-12-20,"Digital Services",5818,"United States",0,Active
M0204,"Pioneer Co Digital",PF07,2021-03-16,"Digital Services",5818,"South Africa",1,Active
M0205,"Aster Ventures Stays",PF04,2021-12-23,Hospitality,7011,Brazil,0,Active
M0206,"Quartz Bay Stays",PF04,2018-11-16,Hospitality,7011,India,1,Active
M0207,"Willow Collective Services",PF08,2023-03-27,"Consumer Services",7299,"United Arab Emirates",3,Active
M0208,"Beacon Exchange Cloud",PF10,2019-03-08,SaaS/Subscriptions,5817,"United Kingdom",0,Active
M0209,"Coral Loft Cloud",PF06,2022-09-18,SaaS/Subscriptions,5817,"United States",0,Active
M0210,"Delta Market Retail",PF04,2021-11-06,Retail,5411,"United Arab Emirates",8,Active
M0211,"Nova Depot Learning",PF03,2018-10-28,Education,8299,"United Kingdom",3,Active
M0212,"Blue Trail Services",PF03,2022-03-24,"Consumer Services",7299,Singapore,1,Active
M0213,"Summit Studio Events",PF03,2019-02-23,Events,7922,Brazil,25,Active
M0214,"Bright Hub Services",PF03,2021-06-30,"Consumer Services",7299,"United States",3,Active
M0215,"River Works Travel",PF01,2023-08-07,TRAVEL,4722,"United Arab Emirates",43,Active
M0216,"Cedar Point Retail",PF01,2023-07-24,Retail,5411,"United Kingdom",8,Active
M0217,"Orbit Line Learning",PF07,2023-01-30,Education,8299,Brazil,22,Active
M0218,"Vertex Labs Travel",PF03,2020-11-18,Travel,4722,"United Kingdom",76,Active
M0219,"Harbor House Stays",PF09,2021-04-06,Hospitality,7011,"United Arab Emirates",0,Active
M0220,"Falcon Field Cloud",PF05,2019-10-02,SaaS/Subscriptions,5817,"United Arab Emirates",0,Active
M0221,"Maple Group Services",PF01,2023-05-16,"Consumer Services",7299,Germany,5,Active
M0222,"Silver Partners Retail",PF01,2020-10-13,Retail,5411,Singapore,3,Active
M0223,"Crest Gate Services",PF02,2022-07-02,"Consumer Services",7299,Australia,0,Active
M0224,"North Co Digital",PF10,2020-02-06,"Digital Services",5818,"United Arab Emirates",0,Active
M0225,"Atlas Ventures Retail",PF02,2022-04-27,Retail,5411,Australia,4,Active
M0226,"Clover Bay Digital",PF04,2019-04-24,"Digital Services",5818,France,1,Active
M0227,"Golden Collective Travel",PF09,2022-04-12,Travel,4722,Germany,34,Active
M0228,"Union Exchange Travel",PF10,2018-04-08,Travel,4722,India,69,Active
M0229,"Prime Loft Health",PF02,2018-08-12,Healthcare,8011,"United States",2,Active
M0230,"Echo Market Digital",PF01,2020-01-21,"Digital Services",5818,Canada,0,Active
M0231,"Lumen Depot Events",PF01,2020-10-23,Events,7922,India,34,Active
M0232,"Meridian Trail Retail",PF01,2022-02-24,Retail,5411,Germany,2,Active
M0233,"Anchor Studio Retail",PF02,2020-02-04,Retail,5411,"United States",7,Active
M0234,"Pioneer Hub Health",PF04,2018-02-09,Healthcare,8011,Brazil,3,Active
M0235,"Aster Works Retail",PF09,2019-11-25,Retail,5411,Germany,7,Active
M0236,"Quartz Point Cloud",PF04,2020-07-24,SaaS/Subscriptions,5817,Singapore,0,Active
M0237,"Willow Line Cloud",PF05,2021-03-04,SaaS/Subscriptions,5817,"United States",0,Active
M0238,"Beacon Labs Cloud",PF02,2021-10-03,SaaS/Subscriptions,5817,Nigeria,0,Active
M0239,"Coral House Learning",PF07,2019-06-12,Education,8299,"United States",8,Active
M0240,"Delta Field Health",PF05,2021-07-24,Healthcare,8011,"United States",4,Active
M0241,"Nova Group Retail",PF08,2021-09-07,Retail,5411,Brazil,8,Active
M0242,"Blue Partners Events",PF09,2022-07-13,Events,7922,"South Africa",25,Active
M0243,"Summit Gate Events",PF03,2021-01-16,Events,7922,"United States",34,Active
M0244,"Bright Co Digital",PF01,2022-09-23,"Digital Services",5818,India,0,Active
M0245,"River Ventures Digital",PF02,2019-04-18,"Digital Services",5818,Australia,1,Active
M0246,"Cedar Bay Travel",PF03,2022-02-24,Travel,4722,Brazil,73,Active
M0247,"Orbit Collective Travel",PF09,2018-04-08,Travel,4722,Germany,40,Active
M0248,"Vertex Exchange Retail",PF03,2018-08-07,Retail,5411,India,9,Active
M0249,"Harbor Loft Stays",PF07,2023-01-16,Hospitality,7011,Australia,2,Active
M0250,"Falcon Market Health",PF04,2020-10-08,Healthcare,8011,Australia,3,Active
M0251,"Maple Depot Cloud",PF02,2021-08-15,SaaS/Subscriptions,5817,Canada,0,Active
M0252,"Silver Trail Stays",PF02,2021-07-09,Hospitality,7011,"United Arab Emirates",0,Active
M0253,"Crest Studio Services",PF05,2022-01-20,"Consumer Services",7299,"United States",5,Active
M0254,"North Hub Stays",PF06,2019-06-08,Hospitality,7011,"South Africa",2,Active
M0255,"Atlas Works Events",PF03,2019-01-15,Events,7922,Brazil,59,Active
M0256,"Clover Point Stays",PF02,2018-04-01,Hospitality,7011,Canada,2,Active
M0257,"Golden Line Travel",PF06,2023-01-16,Travel,4722,"United States",85,Active
M0258,"Union Labs Travel",PF01,2019-04-22,Travel,4722,"United States",72,Active
M0259,"Prime House Travel",PF09,2021-05-10,Travel,4722,Australia,24,Active
M0260,"Echo Field Stays",PF02,2020-08-26,Hospitality,7011,"United States",1,Active
M0261,"Lumen Group Travel",PF01,2018-12-12,Travel,4722,France,37,Active
M0262,"Meridian Partners Retail",PF04,2020-05-31,Retail,5411,Germany,4,Suspended
M0263,"Anchor Gate Learning",PF04,2018-06-27,Education,8299,Australia,25,Active
M0264,"Pioneer Co Cloud",PF04,2019-01-12,SaaS/Subscriptions,5817,Brazil,0,Active
M0265,"Aster Ventures Cloud",PF03,2018-10-25,SaaS/Subscriptions,5817,Germany,0,Active
M0266,"Quartz Bay Retail",PF10,2022-10-23,Retail,5411,"United Kingdom",10,Active
M0267,"Willow Collective Health",PF04,2021-04-23,Healthcare,8011,"United Arab Emirates",3,Active
M0268,"Beacon Exchange Health",PF04,2023-05-26,Healthcare,8011,"United Arab Emirates",4,Active
M0269,"Coral Loft Travel",PF03,2020-07-17,Travel,4722,Germany,29,Active
M0270,"Delta Market Stays",PF01,2019-03-05,Hospitality,7011,"United Arab Emirates",0,Active
M0271,"Nova Depot Events",PF05,2021-07-20,Events,7922,Nigeria,54,Active
M0272,"Blue Trail Events",PF02,2023-06-03,Events,7922,India,35,Active
M0273,"Summit Studio Retail",PF05,2021-02-08,Retail,5411,"United States",8,Active
M0274,"Bright Hub Cloud",PF01,2018-02-08,SaaS/Subscriptions,5817,Germany,0,Active
M0275,"River Works Travel",PF10,2019-10-09,Travel,4722,Germany,52,Active
M0276,"Cedar Point Cloud",PF04,2023-05-25,SaaS/Subscriptions,5817,"United States",0,Suspended
M0277,"Orbit Line Retail",PF08,2021-01-09,Retail,5411,"United States",4,Active
M0278,"Vertex Labs Travel",PF04,2023-07-21,Travel,4722,Singapore,78,Active
M0279,"Harbor House Health",PF01,2020-12-20,Healthcare,8011,"United Kingdom",4,Active
M0280,"Falcon Field Travel",PF07,2018-01-26,Travel,4722,Nigeria,68,Active
M0281,"Maple Group Services",PF05,2023-02-03,"Consumer Services",7299,"United Kingdom",2,Active
M0282,"Silver Partners Travel",PF07,2022-06-14,Travel,4722,"United States",65,Active
M0283,"Crest Gate Health",PF03,2022-03-04,Healthcare,8011,Australia,5,Active
M0284,"North Co Health",PF05,2023-08-29,Healthcare,8011,Brazil,3,Active
M0285,"Atlas Ventures Services",PF08,2019-02-22,"Consumer Services",7299,"United Kingdom",2,Active
M0286,"Clover Bay Digital",PF05,2023-04-14,"Digital Services",5818,"United States",0,Active
M0287,"Golden Collective Digital",PF03,2019-05-11,"Digital Services",5818,"United States",1,Active
M0288,"Union Exchange Learning",PF05,2023-08-30,Education,8299,India,11,Active
M0289,"Prime Loft Digital",PF06,2019-02-12,"Digital Services",5818,India,1,Active
M0290,"Echo Market Stays",PF10,2021-03-18,Hospitality,7011,"United Kingdom",0,Active
M0291,"Lumen Depot Retail",PF03,2022-08-09,Retail,5411,"United States",4,Active
M0292,"Meridian Trail Retail",PF03,2018-06-16,Retail,5411,India,10,Active
M0293,"Anchor Studio Health",PF07,2018-05-23,Healthcare,8011,Nigeria,2,Active
M0294,"Pioneer Hub Retail",PF04,2022-12-16,Retail,5411,Singapore,6,Suspended
M0295,"Aster Works Cloud",PF06,2018-05-09,SaaS/Subscriptions,5817,India,0,Active
M0296,"Quartz Point Learning",PF03,2021-07-31,Education,8299,"United States",16,Suspended
M0297,"Willow Line Events",PF02,2023-06-22,Events,7922,"United Kingdom",34,Active
M0298,"Beacon Labs Stays",PF06,2021-08-02,Hospitality,7011,"United Kingdom",2,Active
M0299,"Coral House Retail",PF01,2020-10-21,Retail,5411,Australia,4,Active
M0300,"Delta Field Cloud",PF02,2020-06-07,SaaS/Subscriptions,5817,Brazil,0,Active
M0301,"Nova Group Events",PF05,2021-09-21,Events,7922,"South Africa",49,Active
M0302,"Blue Partners Cloud",PF06,2021-05-03,SaaS/Subscriptions,5817,France,0,Active
M0303,"Summit Gate Cloud",PF08,2020-12-04,SaaS/Subscriptions,5817,France,0,Active
M0304,"Bright Co Cloud",PF02,2018-11-24,SaaS/Subscriptions,5817,Nigeria,0,Active
M0305,"River Ventures Cloud",PF01,2021-11-12,SaaS/Subscriptions,5817,"United States",0,Active
M0306,"Cedar Bay Learning",PF09,2022-04-25,Education,8299,"United States",6,Active
M0307,"Orbit Collective Cloud",PF01,2022-02-18,SaaS/Subscriptions,5817,"United Kingdom",0,Active
M0308,"Vertex Exchange Services",PF02,2018-06-09,"Consumer Services",7299,"United Arab Emirates",2,Active
